label;一级评论;真实二级评论数;真实点赞数;边数;最大边数;集群密度
0;说的好像贷款不用还一样;4;163;167;55119;0.0030298082330956658
6;什么天大福利，贷了又不是不用还，贷出来投资做生意，赔了直接家破人亡[二哈];2;32;34;55119;0.0006168471851811535
9;不会真有人以为多放贷能促进生育吧[允悲];1;27;28;55119;0.00050799179956095
18;一个孩子奖励100万吧[嘻嘻];5;3;8;55119;0.00014514051416027142
66;说的好像贷款不用还一样;4;163;167;55119;0.0030298082330956658
72;什么天大福利，贷了又不是不用还，贷出来投资做生意，赔了直接家破人亡[二哈];2;32;34;55119;0.0006168471851811535
75;不会真有人以为多放贷能促进生育吧[允悲];1;27;28;55119;0.00050799179956095
84;一个孩子奖励100万吧[嘻嘻];5;3;8;55119;0.00014514051416027142
152;除了经济制裁，中国没有什么很好的反制手段[挖鼻];2;1;3;55119;5.442769281010178e-05
165;繁华西厂房在拆迁;1;0;1;55119;1.8142564270033927e-05
167;离市区远;1;0;1;55119;1.8142564270033927e-05
192;这点钱，微乎其微...前阵子我才知道原来小娃娃打疫苗不免费。我之前理所当然地以为这是基本福利。。。;3;0;3;55119;5.442769281010178e-05
196;少生优生幸福一生，只生一个好;3;47;50;55119;0.0009071282135016963
201;连请个保姆都不够;1;9;10;55119;0.00018142564270033927
203;只生一个好，zf来养老[喵喵];1;8;9;55119;0.00016328307843030534
206;建议直接承包小孩5岁前的所有育儿费用;1;3;4;55119;7.257025708013571e-05
209;一次性补贴就算了，每个月都补贴才能吸引;1;2;3;55119;5.442769281010178e-05
214;中国的人口年龄结构中间大两头小，这就是让你们生的原因，出生率不提高的话，就不是延迟退休这么简单了;1;0;1;55119;1.8142564270033927e-05
242;还不如从结婚就开始奖励，M2那么多万亿流入市场，还不如人均直接发，这么点抠抠搜搜的钱彩礼都不够给，还生;1;4;5;55119;9.071282135016963e-05
267;不是每个人的父母都有能力给你在工作地买房的哈，10个里面有5个差不多了;2;6;8;55119;0.00014514051416027142
284;把每年的1,000万大学毕业生培养为未来的房奴吗？[允悲];16;143;159;55119;0.0028846677189353943
301;救不了的了，慢慢会崩盘;10;36;46;55119;0.0008345579564215606
312;其实很简单，宣布工资倍增计划，未来三年工资倍增，然后把钱印出来;6;5;11;55119;0.0001995682069703732
319;任何人为地拯救都是向经济法则的挑战。所谓宏观调控也不例外。在没有伤及经济筋骨的条件下，任何调控无非是人为地推进或延缓了经济规律起作用的时间。最终还是经济法则要起作用。任何问题累积越久，爆发的烈度愈甚。;3;36;39;55119;0.0007075600065313231
323;月供的关键在供，拿啥供？;1;32;33;55119;0.0005987046209111195
326;[doge]总结一下当今一些人对都盼着大学毕业生的期待：1.1000万人就业率100% 2.月薪税后2万 3.买房有首付 4.还贷后还能买台电动车代步 5.每个月没有结余 都用来消费[doge][doge][doge];2;18;20;55119;0.00036285128540067854
329;1100万大学生有900多万的爹妈都给买房了;1;11;12;55119;0.00021771077124040712
331;根据炒股多年养成的惯性分析，这么多人唱空，确实上涨的概率比较大了;1;1;2;55119;3.6285128540067854e-05
335;这个才是硬实力宣传 http://t.cn/A69lXID8;1;3;4;55119;7.257025708013571e-05
337;真伟大，社会主义居然搞得没有房子住;1;7;8;55119;0.00014514051416027142
341;今年开始毕业大学生很难找到高薪工作，靠什么买房？;1;2;3;55119;5.442769281010178e-05
346;第五点一看就是错的啊 为什么看空房市的人越多 就是要买房的人越多？这是啥逻辑？;1;1;2;55119;3.6285128540067854e-05
423;还有余地不过现在还不到时候;1;0;1;55119;1.8142564270033927e-05
425;稳(song)得一批[doge][求饶];1;0;1;55119;1.8142564270033927e-05
427;[二哈];1;0;1;55119;1.8142564270033927e-05
452;要赶农民进城很简单，镇以下的学校统统撤掉，农民自然会跑城里为开发商接盘。[笑cry][笑cry][笑cry];5;15;20;55119;0.00036285128540067854
458;都去县城落户，那老家稻田怎么搞呢，城市失业还能老家种田不愁吃喝，迁出去了未来重新划分田土就没得了吧;4;7;11;55119;0.0001995682069703732
480;[允悲]我还想要一个农村户口 想要一个宅基地 几块地;1;5;6;55119;0.00010885538562020356
517;你买了没;2;1;3;55119;5.442769281010178e-05
520;进城，何以立足？;2;0;2;55119;3.6285128540067854e-05
523;说到底就是惦记农民的土地。;1;0;1;55119;1.8142564270033927e-05
525;然后，供个物业叫爹[允悲];1;0;1;55119;1.8142564270033927e-05
527;在农村，虽然一个月100来块钱退休金，但是消费低，很多东西可以自己种点，真要去了城里，啥都得要钱了。;1;1;2;55119;3.6285128540067854e-05
529;博主平常发的微博都挺可人的，一涉及到政经就傻里吧唧的;1;0;1;55119;1.8142564270033927e-05
551;想回村怎么办？;2;1;3;55119;5.442769281010178e-05
569;房产界欢乐喜剧人大哥2023年就销声匿迹了;2;1;3;55119;5.442769281010178e-05
572;暴跌一触即发[doge];1;3;4;55119;7.257025708013571e-05
574;挂牌量又下来了;1;0;1;55119;1.8142564270033927e-05
576;持关[doge];1;0;1;55119;1.8142564270033927e-05
578;82/14 http://t.cn/A6KeYP9N;1;1;2;55119;3.6285128540067854e-05
580;#打卡，围观，躺平，住二环老破小##撸猫，聊球，踩盘，看白话二手房#  某区卖房:我们这未来有rdf！！！丰台卖房:我们未来这有个学校。[doge][吃瓜];1;1;2;55119;3.6285128540067854e-05
597;取消二套吧[泪];2;2;4;55119;7.257025708013571e-05
600;三个月一提和租房1500限额还在吗;3;0;3;55119;5.442769281010178e-05
604;房租能涨点儿。提高点租售比。;1;0;1;55119;1.8142564270033927e-05
606;国管之前可以按月提还房贷不;2;0;2;55119;3.6285128540067854e-05
609;小白，今年除了深圳还有其他地方要落地房产税吗？;1;0;1;55119;1.8142564270033927e-05
615;有公积金的需要租这种房子？;2;0;2;55119;3.6285128540067854e-05
618;北京公租房的标准十几年不变，这十来年北京gdp增长了多少，人均增长了gdp多少。。。我就呵呵了！;1;11;12;55119;0.00021771077124040712
718;一个月1500块钱够干嘛的？？;1;30;31;55119;0.0005624194923710517
720;提取公积金就算进年收入里，有些人因为提了公积金就不符合住保障房的收入要求了，这个怎么没人提？;2;22;24;55119;0.00043542154248081425
723;公积金为什么不能直接入卡个人账户？;1;9;10;55119;0.00018142564270033927
742;烂尾之都;1;4;5;55119;9.071282135016963e-05
760;能不能直接规定不准卖期房，只准卖现房呢？我都快被恒大气死了[允悲];3;4;7;55119;0.0001269979498902375
772;谁告诉你的测量要三个月。一个周的事情让个搞成三个月。而且你连最基本的竣工验收步骤都没搞清楚，很多验收都是过程中就开始验收了，测量属于分户验收，室内施工差不多的时候就能验收。哪怕是公区没施工;3;3;6;55119;0.00010885538562020356
779;交房交才能卖，要不然很难杜绝被割韭菜。话说回来，小白买二手都会被坑。;1;1;2;55119;3.6285128540067854e-05
799;政府常常扮演无赖角色，维权几无可能！;1;7;8;55119;0.00014514051416027142
815;烂尾楼呢;1;35;36;55119;0.0006531323137212214
817;现在之所以第一时间拿不到房产证，要么是开发商没还上银行的钱，证被扣了。要么是开发商盖房的时候改规划了，不给批证。  现在第一时间发证，这两条是怎么解决的？ 先发证，扯皮的事儿挪到后面？？;2;14;16;55119;0.00029028102832054283
837;会不会因此拖延交房;4;38;42;55119;0.0007619876993414249
842;烂尾楼那么多 怎么交……;1;17;18;55119;0.0003265661568606107
876;好消息[鼓掌];10;6;16;55119;0.00029028102832054283
887;好;9;3;12;55119;0.00021771077124040712
897;涨涨涨[允悲][允悲][允悲];9;2;11;55119;0.0001995682069703732
907;好;9;1;10;55119;0.00018142564270033927
917;👏好;9;1;10;55119;0.00018142564270033927
927;[哈哈]每天都看消息，昨天美股新能源涨了;9;1;10;55119;0.00018142564270033927
937;今天行情一直往上[打call];8;0;8;55119;0.00014514051416027142
946;乔妹早呀[太开心][太开心];8;0;8;55119;0.00014514051416027142
955;我要发财;8;0;8;55119;0.00014514051416027142
964;好样的 利好！！[doge][doge][doge];8;0;8;55119;0.00014514051416027142
1033;看来今天数字经济要来一波集体涨停潮了，大面积套人开始。;1;0;1;55119;1.8142564270033927e-05
1104;现在明明就是都不敢消费;1;0;1;55119;1.8142564270033927e-05
1110;[熊猫];1;0;1;55119;1.8142564270033927e-05
1129;还钱！无良机构！还钱！！！！！！;8;0;8;55119;0.00014514051416027142
1144;已阅[挤眼];1;1;2;55119;3.6285128540067854e-05
1146;操心的太多了吧哥;1;0;1;55119;1.8142564270033927e-05
1148;油价又要涨，宝宝不开心;1;0;1;55119;1.8142564270033927e-05
1154;烂尾之都;1;4;5;55119;9.071282135016963e-05
1168;坐标郑州，已经延期半年了，预计还要延期半年。而且政府的纾困资金就是个笑话，开发商想要2亿的纾困资金，前提是得拿3亿的东西是抵押，哪个开发商愿意贷这赔本的纾困资金，都是扯淡;5;5;10;55119;0.00018142564270033927
1202;除了降价一切花哨操作都是想方设法薅老百姓羊毛;1;0;1;55119;1.8142564270033927e-05
1219;因为房地产能促进经济快速增长;2;4;6;55119;0.00010885538562020356
1229;包括利息加点？;2;0;2;55119;3.6285128540067854e-05
1239;房住不炒也要烂尾？;6;13;19;55119;0.0003447087211306446
1258;就说苏州首套利率什么时候降;1;0;1;55119;1.8142564270033927e-05
1265;贺总，黄金山水郡六期的高层可以入手吗？价格和房龄感觉都还可以，南边是水库和山，比财富中心什么的便宜不少，不知道未来能不能涨;1;0;1;55119;1.8142564270033927e-05
1271;东莞这趋势没止住啊？，疫情之前就不行了;1;0;1;55119;1.8142564270033927e-05
1273;我老婆在老家有一条还清的贷款记录，导致我在深圳买房要五成首付[摊手];1;0;1;55119;1.8142564270033927e-05
1275;深圳有刚需？[doge];1;0;1;55119;1.8142564270033927e-05
1293;回不回来得看老百姓口袋里的钞票。老百姓有钱。就业没有问题。谁不想住宽敞明亮一点。[嘻嘻][嘻嘻][嘻嘻];2;1;3;55119;5.442769281010178e-05
1296;多盖房子，多贷款，卖给百姓，百姓贷款，贷款风险从公司转嫁给个人。消费水平又给拉低了。忙活半天意义在哪里。;1;0;1;55119;1.8142564270033927e-05
1308;我一个退休老人都不敢乱花钱了，就怕孩子的房贷还不上，好尽可能帮一下。那么“内需”又何从谈起？;1;1;2;55119;3.6285128540067854e-05
1322;刚放的4.1亏大了[衰];1;0;1;55119;1.8142564270033927e-05
1337;这是完全为拉高房价制定的政策，与市场经济原则完全背道而驰。把党16大后确定的市场在资源配置中起决定性作用的原则给彻底践踏了，是改革的倒退。;1;0;1;55119;1.8142564270033927e-05
1341;早安[太开心]http://t.cn/A69vVXDV;1;0;1;55119;1.8142564270033927e-05
1344;看来对东湖湾情有独钟啊;1;0;1;55119;1.8142564270033927e-05
1347;有21年成交量高？;1;0;1;55119;1.8142564270033927e-05
1350;利率是降了，房价没降，或者说，工资没变多;6;15;21;55119;0.00038099384967071247
1357;改善是现在就出手还是再等等？;4;6;10;55119;0.00018142564270033927
1362;生的起三胎的人不需要支持，人家自有办法。能给三个孩子准备房产的。资产基本千万打底;9;7;16;55119;0.00029028102832054283
1372;我觉得首先应该抓一抓楼盘的质量，不要为了保银行而忽悠大家买房。;1;19;20;55119;0.00036285128540067854
1377;这期何不食肉糜了， 未来绝大多数人的工资会不增长甚至下降。因为要内卷。 所以除非全民发钱。否则薪水涨不过利息。;1;8;9;55119;0.00016328307843030534
1379;22年终于买了房子，用了公积金贷款，每个月还的很少，我觉得挺幸福，至少有自己的地方了;2;6;8;55119;0.00014514051416027142
1383;银行存款利率上浮，听说是一分五了，相当于以前高利贷利率了，怎么网络没人吭声？害怕老百姓存款吗？;1;1;2;55119;3.6285128540067854e-05
1414;就是不让你全款买房，其实有些人还是有能力全款买，谁都知道银行坐收利息，我听说广东那边可以全款买房。;1;0;1;55119;1.8142564270033927e-05
1419;买房就是要趁早，少犹豫，只要有了条件就坚决买;1;0;1;55119;1.8142564270033927e-05
1434;好好说话，别抑扬顿挫的，听着真别扭;1;0;1;55119;1.8142564270033927e-05
1456;有什么事是离婚解决不了的嘛[笑cry];1;0;1;55119;1.8142564270033927e-05
1458;拿出存款的三分之一来买房子[允悲];2;0;2;55119;3.6285128540067854e-05
1477;最后发现，还是靠有能来买三套房的消化库存，走着瞧吧;1;2;3;55119;5.442769281010178e-05
1489;原则上不支持＝支持，理论上可行＝不可行;2;67;69;55119;0.001251836934632341
1493;原则上不支持，就是真心支持，能做别嚷嚷;1;15;16;55119;0.00029028102832054283
1532;他们自己何止三套房…;1;9;10;55119;0.00018142564270033927
1551;三孩需要多大的房子;2;0;2;55119;3.6285128540067854e-05
1568;现在放的效果还不如封时放;1;1;2;55119;3.6285128540067854e-05
1573;既然叫做商品房就应该一切交给市场[允悲];1;1;2;55119;3.6285128540067854e-05
1606;先把经济搞垮，在慢慢恢复，让大家知道领导尽力了。[doge][doge][doge];2;0;2;55119;3.6285128540067854e-05
1609;[doge]买个50平的;1;0;1;55119;1.8142564270033927e-05
1642;买不起[允悲];1;1;2;55119;3.6285128540067854e-05
1644;买了亚运村，不在限购区内，不知道会不会交房就跌破开盘价，毕竟均价4万7[允悲];2;1;3;55119;5.442769281010178e-05
1647;博主🐮啊🐮;1;1;2;55119;3.6285128540067854e-05
1649;必须买爆[加油];1;1;2;55119;3.6285128540067854e-05
1651;搞起来;1;1;2;55119;3.6285128540067854e-05
1657;终于有资格啊[二哈];4;1;5;55119;9.071282135016963e-05
1666;只要交过社保就可以买吗？16年前的算不？交了28个月;1;1;2;55119;3.6285128540067854e-05
1674;外地人买杭州非限购区域是不是不用看社保了？;1;2;3;55119;5.442769281010178e-05
1676;#非杭州户籍凭社保个税缴纳记录限购1套房#房子就是拿来住的嘛;1;0;1;55119;1.8142564270033927e-05
1687;杭州楼市和杭州公务员的年终奖就靠各位小主了[doge];5;7;12;55119;0.00021771077124040712
1719;有社保记录，没时长规定，有一期也可以，相当可以了。拍卖的无限[good];1;3;4;55119;7.257025708013571e-05
1721;这个月交社保，下雨买就可以了. 相当于放开了;2;0;2;55119;3.6285128540067854e-05
1728;以前是限购几套呢?;2;2;4;55119;7.257025708013571e-05
1734;30岁以下还不算家庭[允悲];7;5;12;55119;0.00021771077124040712
1744;不限购更没人买，大多数人买涨不买跌;1;1;2;55119;3.6285128540067854e-05
1747;单身可以买两套，其他似乎没花头[doge];2;1;3;55119;5.442769281010178e-05
1752;世纪城太惨了;2;0;2;55119;3.6285128540067854e-05
1761;趋势不可扭转，参照日本。;1;1;2;55119;3.6285128540067854e-05
1784;假如已经有一套在滨江，一套在余杭。现在的政策调整了在上城还可以买一套么？;2;0;2;55119;3.6285128540067854e-05
1792;没有社保的人能在余杭买房吗[doge][doge][doge][doge][doge];7;5;12;55119;0.00021771077124040712
1815;晚安[月亮][月亮]http://t.cn/A6WpzIFj;1;0;1;55119;1.8142564270033927e-05
1837;请问怎么跳过一孩二孩直接生三孩享受政策？;1;7;8;55119;0.00014514051416027142
1848;@皮皮乐不是双皮乐 [哆啦A梦吃惊];1;0;1;55119;1.8142564270033927e-05
1860;魔都傲气得狠[坏笑][熊猫];10;9;19;55119;0.0003447087211306446
1871;你不买我不买明年不限购;1;7;8;55119;0.00014514051416027142
1888;[偷笑]金山有点一言难尽啊，离上海市区100公里，有些地方还是化工区，枫泾古镇那边还蛮舒服，出黄酒地方;3;0;3;55119;5.442769281010178e-05
1892;金山不行，太偏了，祖国第三大岛屿都通地铁到市区了[二哈];1;0;1;55119;1.8142564270033927e-05
1931;得了吧，非黄埔陆家嘴不买[左哼哼][右哼哼];1;2;3;55119;5.442769281010178e-05
