topic;eigenvalue
买房; 0.016067462036015827
孩子; 0.01309879716684648
房子; 0.01292416982160122
房地产; 0.012749542476355959
政策; 0.011177896369148647
兴趣; 0.010654014333412874
互动; 0.010479386988167617
未来; 0.01030475964292237
支持; 0.009780877607186593
怎么; 0.009256995571450833
房价; 0.009256995571450825
经济; 0.009082368226205563
百姓; 0.008733113535715063
这个; 0.008383858845224546
利率; 0.008209231499979288
不能; 0.00803460415473403
贷款; 0.00803460415473403
房贷; 0.00698684008326249
城市; 0.006812212738017233
问题; 0.006812212738017231
中国; 0.006637585392771971
