topic;eigenvalue
Pay Attention; 0.023848744134696738
Ambassador; 0.016009936516699907
Child; 0.011593706872758092
Good Night; 0.011593706872758089
Fertility; 0.011152083908363902
Policy; 0.010710460943969723
Accumulation Fund; 0.009716809274082805
Public Accumulation; 0.009716809274082805
Public Accumulation Fund; 0.009716809274082805
Follow; 0.008502346121998792
Together; 0.007398288711013343
Problem; 0.00728788296991479
Support; 0.006515042782224972
Express an Opinion; 0.005852608335633699
Job; 0.005636959807362456
House Price; 0.0055088761943798996
Female; 0.0053807925813973275
Citizen; 0.005380792581397327
Children; 0.0052527089684147625
Society; 0.004996541742449634
Subsidy; 0.004868458129467071
Maternity Leave; 0.004740374516484506
City; 0.004740374516484506
Family; 0.004740374516484506
People; 0.004356123677536808
Individual; 0.004356123677536808
Country; 0.003971872838589115
Marriage; 0.0039718728385891135
Beijing; 0.0038437892256065497
Parenting; 0.0037157056126239834
Nanjing; 0.0035876219996414205
Bank; 0.00358762199964142
Salary; 0.00358762199964142
Interest Rate; 0.0034595383866588532
Guarantee; 0.003459538386658853
Second Child; 0.003459538386658852
Expectation; 0.00333145477367629
Shenzhen; 0.0033314547736762895
Real Estate; 0.0033314547736762877
City Center; 0.0033314547736762877
