topic;eigenvalue
Adjustment; 0.0083706236750738
Buying a house; 0.007690277470706699
Market; 0.0066904855574786
City; 0.006442569676556645
Suite; 0.006291381631141511
Mortgage interest rate; 0.0062734991741569485
Interest; 0.006089797570587969
Housing loan; 0.005914224356557538
Support; 0.005388317553420643
Video; 0.005305407980128582
Stock housing; 0.005171289552744497
Construction; 0.005049363709667726
Business; 0.0047266666449919306
Homebuyer; 0.004713661221730275
Like; 0.004613682030407496
Real estate; 0.004535649490838561
Lower limit; 0.004513702839084479
Level; 0.004471435213484881
Implement; 0.004312931617485303
Excited; 0.004256032890715973
