文本;宏观集群密度;帖子平均情绪值;宏观集群信任度值;群体情绪指数1
韩国又闹“萨德”中国安全决不能由别人来决定后沙月光本尊：据韩联社日报道，关于驻韩美军“萨德”（）反导基地，预计韩国防部相关计划最早将于月内完成，届时将走完“萨德”在韩正式部署所需程序。根据去年月韩国外交部和驻韩美军指挥官组成的《驻韩美军地位协定》（）联合委员会签署供地文件，韩方将为“萨德”基地再向美方供地万平方米。韩国一些“反萨德”民间团体对此进行了抗议，理由是环境保护。韩国官方和民间这样闹来闹去，是想将“萨德”转化为一个法律问题，掩人耳目，避开其事关地缘政治和东北亚安全问题的实质。;0.0050021285653469;0.2303506455160222;0.4253047214711803;0.005976269721929475
肥西县产城融合示范区（花岗）最新卫星影像图，路网建设进度很快，随着紫云湖片区和滨湖西片区热点降温，肥西经开区供应宗地后优质地块减少，北雁湖供地难度大，年该片区可能会加大土地供应。;0.0019157088122605;0.2413339867615086;0.8795440057819773;0.004958967476439651
第十四届全国政协委员、四川大学华西医院教授甘华田建议第三孩免费教育至高中“学前教育入园难和贵的问题，依然是阻碍大多数家庭不愿生育多孩的原因之一。公办幼儿园的名额少，民办幼儿园的费用普遍较高，而高中教育不是义务教育，学费相对较贵”年全国“两会”召开在即，第十四届全国政协委员、四川大学华西医院教授甘华田告诉红星新闻记者，为更有效地鼓励生育，他将提交“关于进一步优化生育配套公共服务供给，提高生育意愿，优化人口结构的提案”，建议“为生育二孩、三孩的家庭发放教育专项补贴，为第三孩提供从幼儿园到高中毕业阶段的免费教育”。全国政协委员甘华田观点：面对生育主导型人口负增长，需要提高适龄人口的生育意愿和生育水平甘华田告诉红星新闻记者，我国人口多年来首次出现负增长，面对生育主导型人口负增长，努力提高适龄人口的生育意愿和生育水平是当务之急。与此同时，甘华田认为，目前，适龄的生育人群生育观念相对固化，“二孩”“三孩”政策对我国总体生育率的影响不如预期。“不愿生的原因很多，但是主要是两个，第一个是教育问题，第二个是医疗问题。实际上，教育问题是最重要的一个拦路虎，要解决这一问题，给三孩提供免费教育是一个很好的选择。而给三孩提供免费教育，国家财政是完全能够承受的，因为小学和初中已经是义务教育了，仅仅需要提供幼儿园和高中的费用。”甘华田如是说。建议：为生育二孩、三孩的家庭发放教育专项补贴减轻育儿家庭医疗负担甘华田表示，探索更有效的鼓励生育政策，应鼓励地方在降低养育、教育成本方面大胆创新。那么，如何降低多孩家庭的教育成本？对此，甘华田建议，为生育二孩、三孩的家庭发放教育专项补贴，为第三孩提供从幼儿园到高中毕业阶段的免费教育。此外，甘华田还建议减轻育儿家庭医疗负担，实行岁以下儿童免费医疗，提高儿童健康水平和人口素质；运用好税收政策，在个人所得税征收中，关于抚养子女支出的专项附加扣除标准按照子女数量进行差异化个税抵扣，并且覆盖从怀孕到孩子年满周岁。在养育、教育成本之外，甘华田对多孩家庭住房保障问题也有关注。甘华田提出，针对多孩家庭出台住房保障政策，降低多孩家庭的养育成本。而从地方实践上，目前福建省龙岩市已出台《龙岩中心城区三孩家庭购买新建商品住房补贴实施办法》，助力缓解多孩家庭购房压力。如若实行上述一系列举措，其带来的医疗、教育成本是否会增加财政负担？对此，甘华田认为，随着我国经济实力的不断提升，综合国力的不断增强，费用应该是国家财政能够承受的。“这实际上是一个鼓励性的、引导性的政策，表明国家鼓励生育的决心，也充分彰显党和政府以人民为中心的为民情怀。”现状：多地探索生育支持措施以现金补贴和购房政策为主那么，为何建议为三孩提供免费教育，而不从二孩开始？甘华田表示，这是出于对财政负担的现实考虑。给三孩提供免费教育不会太增加国家财政负担，有可行性的同时，也起到了鼓励生育的作用。红星新闻记者检索发现，目前多地已经出台针对三孩的生育支持措施。比如，湖北荆门部分地区对三孩家庭给予一次性购房补贴万元。年月，湖北荆门市人民政府官网发布了《关于优化生育政策促进人口长期均衡发展的实施方案》，其中明确二孩、三孩家庭还可以受到住房政策支持。对夫妻双方中至少一方为荆门市户籍，在东宝区、荆门高新区掇刀区、漳河新区等三区购买首套或改善型普通住房的生育二孩及三孩家庭发放购房补贴，其中二孩家庭给予一次性补贴万元，三孩家庭给予一次性补贴万元；有两个及以上未成年子女的职工家庭在市里购买首套或改善型住房时，住房公积金购房贷款额度最高可达到规定限额的倍。湖南长沙对三孩及以上每孩一次性发放育儿补贴万元。年月，湖南长沙市委、市政府印发了《关于优化生育政策促进人口长期均衡发展的工作方案》。长沙市卫生健康委员会主任刘激扬在解读该方案时表示，夫妻双方共同依法生育三个及以上子女的本地户籍家庭，三孩及以上每孩可享受一次性育儿补贴万元。对依法生育两个及以上子女的本地户籍家庭，增加套购房指标。根据家庭未成年子女数量在户型选择等方面给予适当照顾。红星新闻记者王辰元张炎良北京报道;0.0002128565346956;0.7999999999999998;0.6666854161677557;0.0013844702629375505
鼓励生育多地明确对二孩三孩家庭发放生育补贴梳理发现，多地陆续推进一系列积极生育支持措施，如发放生育津贴和育儿补贴，加强住房保障支持等。云南：二孩生育补贴元、三孩补贴元年月日，云南省委、省政府印发《关于优化生育政策促进人口长期均衡发展的实施方案》，明确自年月日起，对符合政策条件的家庭发放一次性生育补贴（二孩补贴元、三孩补贴元），育儿补助（二孩、三孩岁期间每人每年补助元），对婴幼儿意外伤害险参保给予补贴（婴幼儿岁期间每人每年补助元）。山东济南：每孩每月发放元育儿补贴根据《济南市优化生育政策促进人口长期均衡发展实施方案》，明确建立健全积极生育支持政策体系。济南市户籍年月日以后出生的二孩、三孩家庭，每孩每月发放元育儿补贴，对其中的最低生活保障、特困供养人员及领取失业保险金期间的生育妇女每月加发元育儿生活补贴，直至孩子周岁。对按照国家政策生育二孩的缴存职工家庭，申请住房公积金贷款购买首套自住住房的，一人缴存住房公积金的职工家庭最高可贷额度提高至万元，两人及以上缴存住房公积金的职工家庭最高可贷额度提高至万元；生育三孩的缴存职工家庭，申请住房公积金贷款购买首套自住住房的，一人缴存住房公积金的职工家庭最高可贷额度提高至万元，两人及以上缴存住房公积金的职工家庭最高可贷额度提高至万元。湖南长沙：一次性发放育儿补贴万元根据湖南长沙市委、市政府印发的《关于优化生育政策促进人口长期均衡发展的工作方案》。长沙市卫生健康委员会主任刘激扬在解读《工作方案》时表示，夫妻双方共同依法生育三个及以上子女的本地户籍家庭，三孩及以上每孩可享受一次性育儿补贴万元。对依法生育两个及以上子女的本地户籍家庭，增加套购房指标。根据家庭未成年子女数量在户型选择等方面给予适当照顾。辽宁沈阳：三孩每月发放元育儿补贴据辽宁沈阳市印发的《实施积极生育支持措施促进人口长期均衡发展实施方案》。方案在降低生育、养育和教育成本方面明确了六项支持政策，其中包括建立家庭育儿补贴制度，对夫妻双方共同依法生育三个子女的本地户籍家庭，三孩每月发放元育儿补贴，直至孩子周岁止；实施住房支持政策，对生育二孩、三孩未满周岁的居民家庭在沈阳行政区域内已拥有套住房的，可在沈阳市限购区域内再购买套新建商品住房。对生育二孩、三孩未满周岁的住房公积金缴存职工家庭，使用住房公积金贷款购买自住房的，贷款限额可放宽到当期最高贷款额度的倍。黑龙江哈尔滨：三个子女家庭每月每孩发放元育儿补贴根据黑龙江哈尔滨市印发的《哈尔滨市优化生育政策促进人口长期均衡发展的实施方案》，其中明确将完善生育支持政策措施，减轻养育负担。建立育儿补贴制度，减轻家庭育儿负担，按政策生育第二个子女的家庭，每孩每月发放元育儿补贴；按政策生育第三个子女的家庭，每月每孩发放元育儿补贴，直至子女周岁。此外，要求健全支持生育的住房保障政策，政策内二孩及以上家庭，申请住房公积金贷款，连续缴存时间降低至半年；政策内生育第二个、第三个子女的家庭，在城区购买新建住房的，分别给予万元、万元的购房补贴。湖北荆门：三孩家庭每月发放元住房补贴年月日，湖北荆门市人民政府官网发布了《关于优化生育政策促进人口长期均衡发展的实施方案》，其中明确要对三孩家庭加强财税政策支持，减免经济困难家庭入托、入园、入学等费用。对夫妻双方中至少一方为我市户籍、在市内医疗机构生育三孩的家庭，每月发放元育儿补贴，直至孩子满周岁。此外，二孩、三孩家庭还可以受到住房政策支持。对夫妻双方中至少一方为荆门市户籍，在东宝区、荆门高新区掇刀区、漳河新区等三区购买首套或改善型普通住房的生育二孩及三孩家庭发放购房补贴，其中二孩家庭给予一次性补贴万元，三孩家庭给予一次性补贴万元；有两个及以上未成年子女的职工家庭在我市购买首套或改善型住房时，住房公积金购房贷款额度最高可达到规定限额的倍。（人民日报健康客户端）;0.0057471264367816;-0.0453077347832301;0.5004588978337808;-0.0015891951058152605
多地发布鼓励生育新政策人民日报汇总报道云南：二孩生育补贴元、三孩补贴元年月日，云南省委、省政府印发《关于优化生育政策促进人口长期均衡发展的实施方案》，明确自年月日起，对符合政策条件的家庭发放一次性生育补贴（二孩补贴元、三孩补贴元），育儿补助（二孩、三孩岁期间每人每年补助元），对婴幼儿意外伤害险参保给予补贴（婴幼儿岁期间每人每年补助元）。山东济南：每孩每月发放元育儿补贴根据《济南市优化生育政策促进人口长期均衡发展实施方案》，明确建立健全积极生育支持政策体系。济南市户籍年月日以后出生的二孩、三孩家庭，每孩每月发放元育儿补贴，对其中的最低生活保障、特困供养人员及领取失业保险金期间的生育妇女每月加发元育儿生活补贴，直至孩子周岁。对按照国家政策生育二孩的缴存职工家庭，申请住房公积金贷款购买首套自住住房的，一人缴存住房公积金的职工家庭最高可贷额度提高至万元，两人及以上缴存住房公积金的职工家庭最高可贷额度提高至万元；生育三孩的缴存职工家庭，申请住房公积金贷款购买首套自住住房的，一人缴存住房公积金的职工家庭最高可贷额度提高至万元，两人及以上缴存住房公积金的职工家庭最高可贷额度提高至万元。湖南长沙：一次性发放育儿补贴万元根据湖南长沙市委、市政府印发的《关于优化生育政策促进人口长期均衡发展的工作方案》。长沙市卫生健康委员会主任刘激扬在解读《工作方案》时表示，夫妻双方共同依法生育三个及以上子女的本地户籍家庭，三孩及以上每孩可享受一次性育儿补贴万元。对依法生育两个及以上子女的本地户籍家庭，增加套购房指标。根据家庭未成年子女数量在户型选择等方面给予适当照顾。辽宁沈阳：三孩每月发放元育儿补贴据辽宁沈阳市印发的《实施积极生育支持措施促进人口长期均衡发展实施方案》。方案在降低生育、养育和教育成本方面明确了六项支持政策，其中包括建立家庭育儿补贴制度，对夫妻双方共同依法生育三个子女的本地户籍家庭，三孩每月发放元育儿补贴，直至孩子周岁止；实施住房支持政策，对生育二孩、三孩未满周岁的居民家庭在沈阳行政区域内已拥有套住房的，可在沈阳市限购区域内再购买套新建商品住房。对生育二孩、三孩未满周岁的住房公积金缴存职工家庭，使用住房公积金贷款购买自住房的，贷款限额可放宽到当期最高贷款额度的倍。黑龙江哈尔滨：三个子女家庭每月每孩发放元育儿补贴根据黑龙江哈尔滨市印发的《哈尔滨市优化生育政策促进人口长期均衡发展的实施方案》，其中明确将完善生育支持政策措施，减轻养育负担。建立育儿补贴制度，减轻家庭育儿负担，按政策生育第二个子女的家庭，每孩每月发放元育儿补贴；按政策生育第三个子女的家庭，每月每孩发放元育儿补贴，直至子女周岁。此外，要求健全支持生育的住房保障政策，政策内二孩及以上家庭，申请住房公积金贷款，连续缴存时间降低至半年；政策内生育第二个、第三个子女的家庭，在城区购买新建住房的，分别给予万元、万元的购房补贴。湖北荆门：三孩家庭每月发放元住房补贴年月日，湖北荆门市人民政府官网发布了《关于优化生育政策促进人口长期均衡发展的实施方案》，其中明确要对三孩家庭加强财税政策支持，减免经济困难家庭入托、入园、入学等费用。对夫妻双方中至少一方为我市户籍、在市内医疗机构生育三孩的家庭，每月发放元育儿补贴，直至孩子满周岁。此外，二孩、三孩家庭还可以受到住房政策支持。对夫妻双方中至少一方为荆门市户籍，在东宝区、荆门高新区掇刀区、漳河新区等三区购买首套或改善型普通住房的生育二孩及三孩家庭发放购房补贴，其中二孩家庭给予一次性补贴万元，三孩家庭给予一次性补贴万元；有两个及以上未成年子女的职工家庭在我市购买首套或改善型住房时，住房公积金购房贷款额度最高可达到规定限额的倍。;0.0219242230736483;-0.0981410567835599;0.461956631660985;-0.012121653093712577
鼓励生育多地明确对二孩、三孩家庭发放生育补贴多地陆续推进一系列积极生育支持措施，如发放生育津贴和育儿补贴，加强住房保障支持等。云南：二孩生育补贴元、三孩补贴元年月日，云南省委、省政府印发《关于优化生育政策促进人口长期均衡发展的实施方案》，明确自年月日起，对符合政策条件的家庭发放一次性生育补贴（二孩补贴元、三孩补贴元），育儿补助（二孩、三孩岁期间每人每年补助元），对婴幼儿意外伤害险参保给予补贴（婴幼儿岁期间每人每年补助元）。山东济南：每孩每月发放元育儿补贴根据《济南市优化生育政策促进人口长期均衡发展实施方案》，明确建立健全积极生育支持政策体系。济南市户籍年月日以后出生的二孩、三孩家庭，每孩每月发放元育儿补贴，对其中的最低生活保障、特困供养人员及领取失业保险金期间的生育妇女每月加发元育儿生活补贴，直至孩子周岁。对按照国家政策生育二孩的缴存职工家庭，申请住房公积金贷款购买首套自住住房的，一人缴存住房公积金的职工家庭最高可贷额度提高至万元，两人及以上缴存住房公积金的职工家庭最高可贷额度提高至万元；生育三孩的缴存职工家庭，申请住房公积金贷款购买首套自住住房的，一人缴存住房公积金的职工家庭最高可贷额度提高至万元，两人及以上缴存住房公积金的职工家庭最高可贷额度提高至万元。湖南长沙：一次性发放育儿补贴万元根据湖南长沙市委、市政府印发的《关于优化生育政策促进人口长期均衡发展的工作方案》。长沙市卫生健康委员会主任刘激扬在解读《工作方案》时表示，夫妻双方共同依法生育三个及以上子女的本地户籍家庭，三孩及以上每孩可享受一次性育儿补贴万元。对依法生育两个及以上子女的本地户籍家庭，增加套购房指标。根据家庭未成年子女数量在户型选择等方面给予适当照顾。辽宁沈阳：三孩每月发放元育儿补贴据辽宁沈阳市印发的《实施积极生育支持措施促进人口长期均衡发展实施方案》。方案在降低生育、养育和教育成本方面明确了六项支持政策，其中包括建立家庭育儿补贴制度，对夫妻双方共同依法生育三个子女的本地户籍家庭，三孩每月发放元育儿补贴，直至孩子周岁止；实施住房支持政策，对生育二孩、三孩未满周岁的居民家庭在沈阳行政区域内已拥有套住房的，可在沈阳市限购区域内再购买套新建商品住房。对生育二孩、三孩未满周岁的住房公积金缴存职工家庭，使用住房公积金贷款购买自住房的，贷款限额可放宽到当期最高贷款额度的倍。黑龙江哈尔滨：三个子女家庭每月每孩发放元育儿补贴根据黑龙江哈尔滨市印发的《哈尔滨市优化生育政策促进人口长期均衡发展的实施方案》，其中明确将完善生育支持政策措施，减轻养育负担。建立育儿补贴制度，减轻家庭育儿负担，按政策生育第二个子女的家庭，每孩每月发放元育儿补贴；按政策生育第三个子女的家庭，每月每孩发放元育儿补贴，直至子女周岁。此外，要求健全支持生育的住房保障政策，政策内二孩及以上家庭，申请住房公积金贷款，连续缴存时间降低至半年；政策内生育第二个、第三个子女的家庭，在城区购买新建住房的，分别给予万元、万元的购房补贴。湖北荆门：三孩家庭每月发放元住房补贴年月日，湖北荆门市人民政府官网发布了《关于优化生育政策促进人口长期均衡发展的实施方案》，其中明确要对三孩家庭加强财税政策支持，减免经济困难家庭入托、入园、入学等费用。对夫妻双方中至少一方为我市户籍、在市内医疗机构生育三孩的家庭，每月发放元育儿补贴，直至孩子满周岁。此外，二孩、三孩家庭还可以受到住房政策支持。对夫妻双方中至少一方为荆门市户籍，在东宝区、荆门高新区掇刀区、漳河新区等三区购买首套或改善型普通住房的生育二孩及三孩家庭发放购房补贴，其中二孩家庭给予一次性补贴万元，三孩家庭给予一次性补贴万元；有两个及以上未成年子女的职工家庭在我市购买首套或改善型住房时，住房公积金购房贷款额度最高可达到规定限额的倍。（原文链接鼓励生育多地明确对二孩、三孩家庭发放生育补贴）态度岛的微博视频;0.0041507024265644;0.2193798620001694;0.5025516340404527;0.005580649535971319
最新官方答疑：长沙离异单亲家庭享受二孩购房政策今年月上旬，长沙下发《依法生育两个及以上子女的本地户籍家庭购买商品住宅实施细则》，长沙市房产交易中心相关负责人强调，根据《实施细则》，由于二孩以上家庭增加套购房指标，在享受购房政策的二孩及以上本市户籍家庭，需同时满足以下展开;0.0002128565346956;0.9966908750093464;0.6665968906842651;0.0017246320624371106
长沙：二孩及以上本地户籍家庭增加套购房指标长沙市住建局、市卫健委、市公安局三部门今日联合下发的《依法生育两个及以上子女的本地户籍家庭购买商品住宅实施细则》明确，依法生育两个及以上子女的长沙市户籍家庭，符合二孩及以上家庭购房政策认定条件的，可在原有家庭限购套的基础上增加套购房指标。（观察者网）;0.0003192848020434;0.0102825665468362;0.5521408014124966;2.210626231960619e-05
长沙：二孩及以上本地户籍家庭增加套购房指标长沙市住建局、市卫健委、市公安局三部门今日联合下发的《依法生育两个及以上子女的本地户籍家庭购买商品住宅实施细则》明确，依法生育两个及以上子女的长沙市户籍家庭，符合二孩及以上家庭购房政策认定条件的，可在原有家庭限购套的基础上增加套购展开;0.000532141336739;-0.60721902098159;0.6666854161677557;-0.0026271146176220753
湖南消费投诉已通过长沙二孩及以上家庭增加套购房指标，正按程序报备“对依法生育两个及以上子女的本地户籍家庭，增加套购房指标。根据家庭未成年子女数量在户型选择等方面给予适当照顾。”这是去年长沙市委、市政府《关于优化生育政策促进人口长期均衡发展的工作方案》对外公布后，长沙楼市关注的热门热点。那么，这一政策何时落地实施？月日，长沙市住房和城乡建设局在问政湖南上回复网友消息称，相关政策已通过市政府常务会议审议，正在按程序报备。;0.0004257130693912;0.4210526315789474;0.9473577911927096;0.002070871269245599
