label;一级评论;真实二级评论数;真实点赞数;边数;最大边数;集群密度
1;除了经济制裁，中国没有什么很好的反制手段[挖鼻];2;1;3;55119;5.442769281010178e-05
14;繁华西厂房在拆迁;1;0;1;55119;1.8142564270033927e-05
16;离市区远;1;0;1;55119;1.8142564270033927e-05
39;这点钱，微乎其微...前阵子我才知道原来小娃娃打疫苗不免费。我之前理所当然地以为这是基本福利。。。;3;0;3;55119;5.442769281010178e-05
43;少生优生幸福一生，只生一个好;3;47;50;55119;0.0009071282135016963
48;连请个保姆都不够;1;9;10;55119;0.00018142564270033927
50;只生一个好，zf来养老[喵喵];1;8;9;55119;0.00016328307843030534
53;建议直接承包小孩5岁前的所有育儿费用;1;3;4;55119;7.257025708013571e-05
56;一次性补贴就算了，每个月都补贴才能吸引;1;2;3;55119;5.442769281010178e-05
61;中国的人口年龄结构中间大两头小，这就是让你们生的原因，出生率不提高的话，就不是延迟退休这么简单了;1;0;1;55119;1.8142564270033927e-05
89;还不如从结婚就开始奖励，M2那么多万亿流入市场，还不如人均直接发，这么点抠抠搜搜的钱彩礼都不够给，还生;1;4;5;55119;9.071282135016963e-05
114;不是每个人的父母都有能力给你在工作地买房的哈，10个里面有5个差不多了;2;6;8;55119;0.00014514051416027142
131;把每年的1,000万大学毕业生培养为未来的房奴吗？[允悲];16;143;159;55119;0.0028846677189353943
148;救不了的了，慢慢会崩盘;10;36;46;55119;0.0008345579564215606
159;其实很简单，宣布工资倍增计划，未来三年工资倍增，然后把钱印出来;6;5;11;55119;0.0001995682069703732
166;任何人为地拯救都是向经济法则的挑战。所谓宏观调控也不例外。在没有伤及经济筋骨的条件下，任何调控无非是人为地推进或延缓了经济规律起作用的时间。最终还是经济法则要起作用。任何问题累积越久，爆发的烈度愈甚。;3;36;39;55119;0.0007075600065313231
170;月供的关键在供，拿啥供？;1;32;33;55119;0.0005987046209111195
173;[doge]总结一下当今一些人对都盼着大学毕业生的期待：1.1000万人就业率100% 2.月薪税后2万 3.买房有首付 4.还贷后还能买台电动车代步 5.每个月没有结余 都用来消费[doge][doge][doge];2;18;20;55119;0.00036285128540067854
176;1100万大学生有900多万的爹妈都给买房了;1;11;12;55119;0.00021771077124040712
178;根据炒股多年养成的惯性分析，这么多人唱空，确实上涨的概率比较大了;1;1;2;55119;3.6285128540067854e-05
182;这个才是硬实力宣传 http://t.cn/A69lXID8;1;3;4;55119;7.257025708013571e-05
184;真伟大，社会主义居然搞得没有房子住;1;7;8;55119;0.00014514051416027142
188;今年开始毕业大学生很难找到高薪工作，靠什么买房？;1;2;3;55119;5.442769281010178e-05
