文本;宏观集群密度;帖子平均情绪值;宏观集群信任度值;群体情绪指数1
济南优化生育政策：三孩家庭公积金最高可贷万元济南三孩家庭公积金最高可贷万近日，为积极实施三孩生育政策，促进人口长期均衡发展，山东济南印发《济南市优化生育政策促进人口长期均衡发展实施方案》（简称“方案”）。方案提出，在构建多方位支持体系方面，要加强生育政策支持、加强养育成本支持、加强教育资源支持、加强住房保障支持、加强医保政策支持等措施。以加强住房保障支持为例，符合公租房申请条件的未成年政策内二孩及以上家庭，在申请公租房时优先予以分配；对因家庭人口增加、就业、子女就学等原因需要调换公租房的，根据房源情况实施常态化申请、统一调换；符合租赁住房补贴申请条件的，提高保障面积标准，每增加一孩保障面积标准增加平方米。与此同时，按照国家政策生育二孩的缴存职工家庭，申请住房公积金贷款购买首套自住住房的，一人缴存住房公积金的职工家庭最高可贷额度提高至万元，两人及以上缴存住房公积金的职工家庭最高可贷额度提高至万元；生育三孩的缴存职工家庭，申请住房公积金贷款购买首套自住住房的，一人缴存住房公积金的职工家庭最高可贷额度提高至万元，两人及以上缴存住房公积金的职工家庭最高可贷额度提高至万元。此外，在济南市无自有住房且租赁住房的二孩及以上家庭，可按照实际房租支出提取住房公积金。;0.0701683501683501;0.0865268355446805;0.3049398980224235;0.048670148309447894
济南对多孩家庭每孩每月补贴元山东济南对二孩三孩家庭发放育儿补贴日前，山东济南印发《济南市优化生育政策促进人口长期均衡发展实施方案》，积极实施三孩生育政策，促进人口长期均衡发展。方案中提到，落实符合规定生育子女的夫妻的休假政策，女方享受天产假，配偶享受不少于天陪产假，周岁以下婴幼儿父母各享受每年累计不少于天育儿假。济南市户籍按照生育政策于年月日以后出生的二孩、三孩家庭，每孩每月发放元育儿补贴，直至孩子周岁。对按政策生育二孩、三孩家庭的子女，协调支持符合入学条件的同一家庭不同年龄段子女同一学区入学。鼓励优先保障三孩入普惠性幼儿园。申请住房公积金贷款购买首套自住住房的，一人缴存住房公积金的职工家庭最高可贷万元，两人及以上缴存住房公积金的职工家庭最高可贷万元；生育三孩的缴存职工家庭，申请住房公积金贷款购买首套自住住房的，一人缴存住房公积金的职工家庭最高可贷万元，两人及以上缴存住房公积金的职工家庭最高可贷万元。居民医保参保人员住院分娩医疗费医保实行定额支付，标准为元。职工生育保险参保人员住院分娩医疗费医保政策范围内报销比例为。参加职工基本医疗保险的灵活就业女性人员可享受生育医疗费待遇，住院分娩医疗费医保政策范围内报销比例为。在现有基础上，少年儿童住院医保报销比例再提高个百分点。对年月日以后出生的二孩、三孩，自出生之日起六个月内参加济南市居民基本医疗保险的，参保登记当年度个人缴费由财政予以全额补助；其祖父母、外祖父母参加济南市长期护理保险的，当年度个人缴费部分由财政予以全额补助。（央视，嘉玛）;0.0018855218855218;0.0531353169352025;0.4338787858246812;0.0011427194034349401
真金白银多地出台生育支持政策今年以来，已有多地陆续推进一系列积极生育支持措施，如发放生育津贴和育儿补贴，加强住房保障支持等。其中，云南、山东济南、湖南长沙、辽宁沈阳、黑龙江哈尔滨等多地发放“真金白银”。云南省印发《云南省生育支持项目实施方案》，年月日起，对符合政策条件的家庭发放一次性生育补贴，发放期限为年月日至年月日。《方案》明确了补贴标准，对符合政策条件的家庭发放一次性生育补贴二孩补贴元、三孩补贴元，育儿补助二孩、三孩岁期间每人每年补助元，对婴幼儿意外伤害险参保给予补贴婴幼儿岁期间每人每年补助元。今年月，山东省济南市发布《济南市优化生育政策促进人口长期均衡发展实施方案》。其中提出：本市户籍按照生育政策于年月日以后出生的二孩、三孩家庭，每孩每月发放元育儿补贴，对其中的最低生活保障、特困供养人员及领取失业保险金期间的生育妇女每月加发元育儿生活补贴，直至孩子周岁。湖南省长沙市去年月出台《关于优化生育政策促进人口长期均衡发展的工作方案》。报道称，《工作方案》创新性地推出一系列支持生育的惠民“组合拳”，力度大、覆盖广、标准高，直指群众生育的“痛点”。其中提出，发放一次性生育补贴。夫妻双方共同依法生育三个及以上子女的本地户籍家庭，三孩及以上每孩可享受一次性育儿补贴万元。据测算，每年需投入约万元。辽宁省沈阳市出台《实施积极生育支持措施促进人口长期均衡发展实施方案》。其中提出，对夫妻双方共同依法生育三个子女的本地户籍家庭，三孩每月发放元育儿补贴，直至孩子周岁止。黑龙江哈尔滨印发的《哈尔滨市优化生育政策促进人口长期均衡发展的实施方案》。《实施方案》明确，按政策生育第二个子女的家庭，每孩每月发放元育儿补贴；按政策生育第三个子女的家庭，每月每孩发放元育儿补贴，直至子女周岁。除了生育补贴，多地的《方案》中还明确提到了住房保障支持和产假等安排。山东济南在构建多方位支持体系方面，《实施方案》提出，落实符合规定生育子女的夫妻的休假政策，女方享受天产假，配偶享受不少于天陪产假，周岁以下婴幼儿父母各享受每年累计不少于天育儿假。对按照国家政策生育二孩的缴存职工家庭，申请住房公积金贷款购买首套自住住房的，一人缴存住房公积金的职工家庭最高可贷额度提高至万元，两人及以上缴存住房公积金的职工家庭最高可贷额度提高至万元；生育三孩的缴存职工家庭，申请住房公积金贷款购买首套自住住房的，一人缴存住房公积金的职工家庭最高可贷额度提高至万元，两人及以上缴存住房公积金的职工家庭最高可贷额度提高至万元。湖南长沙湖南省长沙市出台的《关于优化生育政策促进人口长期均衡发展的工作方案》指出，符合法定生育条件的夫妻，女方除享受国家规定的产假外增加产假天，男方享受护理假天。女方产假期满，经本人申请，用人单位批准，可以请假至婴儿周岁，请假期间的待遇由双方协商确定。依法生育的夫妻除享受育儿假（夫妻在子女满三周岁前每年各享受天育儿假）外，在子女周岁以内增加天亲子假。此外，对依法生育两个及以上子女的本地户籍家庭，增加套购房指标。根据家庭未成年子女数量在户型选择等方面给予适当照顾。同时，《工作方案》就保障女性就业合法权益、维护计划生育家庭的合法权益、健全计划生育特殊家庭全方位帮扶保障制度等作出了明确规定。辽宁沈阳提出，在配租公租房时，对于符合住房保障条件且有未成年子女的家庭，可以优先配租，可根据未成年子女数量在户型选择等方面给予适当照顾。落实支持多孩家庭购买自住住房的政策，对生育二孩、三孩未满周岁的居民家庭在沈阳行政区域内已拥有套住房的，可在我市限购区域内再购买套新建商品住房。对生育二孩、三孩未满周岁的住房公积金缴存职工家庭，使用住房公积金贷款购买自住房的，贷款限额可放宽到当期最高贷款额度的倍。黑龙江哈尔滨提出，健全支持生育的住房保障政策，政策内二孩及以上家庭，申请住房公积金贷款，连续缴存时间降低至半年。政策内生育第二个、第三个子女的家庭，在城区购买新建住房的，分别给予万元、万元的购房补贴，具体补贴办法按照相关要求执行。在配租公租房时，对符合我市保障性住房资格条件、有未成年子女且按政策生育二孩及以上的家庭，纳入实物配租优先保障范围。湖北荆门提出，对夫妻双方中至少一方为本市户籍，在东宝区、荆门高新区掇刀区、漳河新区等三区购买首套或改善型普通住房的生育二孩及三孩家庭发放购房补贴，其中二孩家庭给予一次性补贴万元，三孩家庭给予一次性补贴万元，所需补贴经费纳入财政预算，按所购住房区域由市、区财政各承担。（来源：中国新闻网）;0.0008080808080808;0.1328605715690746;0.5076523237986651;0.00143276056630779
华为浏览器十九部门：鼓励支持有条件有意愿搬迁群众进城落户观察者网;0.0002693602693602;0.9788215106100062;0.5074668461502184;0.0035172322716827387
十九部门：鼓励支持有条件有意愿的搬迁群众进城落户;0.0012121212121212;0.2877814258285525;0.5078378014471119;0.004656827693327912
北京：租住保障性租赁房可提取公积金类公积金提取可调整周期年月日，北京住房公积金管理中心发布《关于进一步优化住房公积金提取业务的通知》（以下简称《通知》）。日起，在本市租住保障性租赁房的家庭可以申请提取住房公积金，且职工每月的住房公积金可直接冲抵房租，减少了提取的展开;0.0033670033670033;-0.3192279292243484;0.390585588845292;-0.011036134365758912
北京：月日起，租住保障性租赁房可提取公积金月日，北京住房公积金管理中心发布《关于进一步优化住房公积金提取业务的通知》（以下简称《通知》）。据悉，即日起，在本市租住保障性租赁房的家庭可以申请提取住房公积金，且职工每月的住房公积金可直接冲抵房租，减少了租房提取的中间环节。为展开;0.0243771043771043;0.5355471017830782;0.2889294804922742;0.0991580504643958
月日起，北京市租住保障性租赁房可提取公积金月日，北京住房公积金管理中心发布《关于进一步优化住房公积金提取业务的通知》。即日起，在北京市租住保障性租赁房的家庭可以申请提取住房公积金，且职工每月的住房公积金可直接冲抵房租，减少了租房提取的中间环节。（北京住房公积金管理中心）;0.0043097643097643;-0.9999899742161028;0.5098780555800257;-0.05776593666173441
北京租住保障性租赁房可提取公积金北京：月日起，租住保障性租赁房可提取公积金据北京日报：月日，北京住房公积金管理中心发布《关于进一步优化住房公积金提取业务的通知》（以下简称《通知》）。据悉，即日起，在本市租住保障性租赁房的家庭可以申请提取住房公积金，且职工每月的住房公积金展开;0.0249158249158249;-0.1354581356373708;0.3012242725513239;-0.02672555059342958
推动重大项目提速提质提效访郑州市市长何雄“三个一批”活动启动以来，郑州市牢固树立“项目为王”理念，建立党政主要领导齐抓共管的高位统筹推进机制，多措并举创环境、育链条、优服务、促达产，较好地实现了以项目建设强投资、扩内需、补短板、调结构、聚人才、惠民生的互促多赢，为稳增展开;0.0001346801346801;0.9958018099610436;0.5074668461502184;0.0017891240763662371
