文本,宏观集群密度,帖子平均情绪值,宏观集群信任度值,群体情绪指数1
北京春推会项目西嘻影业出品，伊北小说改编，杨晓培担任制片人，家庭励志剧《六姊妹》故事梗概：南方小城（安徽淮南）何家六个姊妹从世纪年代到世纪初的悲人生，新中国建立后普通百姓家庭年的生活变迁。看点：作品用年轻态、平民化视角表达了中式亲戚、邻里、人情关系，又用诸多历史细节、生活质感与家长里短彰显真实趣味；作品深刻剖析了重男轻女男女同工同酬、多子女家庭的资源争夺等年代社会痛点，更借由一个淮南小家庭展现共和国六十年的时代变迁。,0.2975609756097561,0.5009633580783712,0.5679498052650266,0.1321908675305978
拟恢复按实际房租提取北京租房提取公积金新政采纳公众意见北京市住房公积金管理中心上月发布了《关于进一步优化租房提取业务的通知（征求意见稿）》，提出申请人租住本市商品房，每人每月提取公积金金额上限由元调整为元。提取金额上限提高后，普通家庭提供发票按实际房租提取的方式被取消。月日，从北京市住房公积金管理中心获悉，该征求意见稿已结束征集意见，将采纳公众提出的建议，拟恢复上述提取方式。月日，北京市住房公积金管理中心发布《关于进一步优化租房提取业务的通知（征求意见稿）》。相比目前执行的规定，该征求意见稿主要调整了提取金额的上限。征求意见稿提出，申请人租住本市商品住房，每人每月提取公积金金额不超过元，相比目前元的提取金额上限，增加了元。按照这一征求意见稿，在提高租住商品房的提取上限后，普通家庭提供租房发票按照实际房租提取公积金的方式将被取消，增添了多子女家庭可以每月按照实际月租金全额提取的内容。北京市住房公积金管理中心表示，在意见征集过程中，针对“恢复租住商品房（提供发票）提取”的意见比较集中，且北京市住房公积金管理中心已吸收采纳这一建议。目前，征求意见稿中已增加“租住商品住房（提供发票）提取”情形。租住本市商品住房，提供租房发票并在“北京市房屋租赁管理服务平台”办理房屋租赁合同备案的，可申请此类租房提取。也就是说，租房提取公积金新政正式实施后，申请人租商品房可选择两种方式提取公积金。如果不提供发票，每人每月可以提取元。如果提供发票，则可以按照实际月租金来提取，但不能超过申请人的公积金月缴存额。据悉，在意见征集期间，北京住房公积金管理中心共收到社会各界意见建议条，除了上述意见外，也有市民提出了“提升每月元的提取额度”“可随时灵活支取住房公积金”等意见，这些意见均未被采纳。针对“提升每月元的提取额度”的建议，北京住房公积金管理中心不予采纳，其表示，从全国来看，对于非网签备案范围的租房提取，上海市公积金管理中心每户家庭最高月提取限额为元、广州住房公积金管理中心每人最高提取限额为元。北京此次将每人每月元的无房租房提取额度提高至元，家庭无房租房提取额度提高至元，此提取额度在全国住房公积金租房提取政策中已处于较高水平。另外，北京住房公积金管理中心表示，每月元的提取额度属于基本保障，如申请人认为无房租房提取额度较低，不能满足实际租房需要，还可选择“租住商品住房（提供发票）”“租住公共租赁住房”“租住保障性租赁住房”方式提取住房公积金，上述方式均可按照实际月租金提取住房公积金。,0.0536585365853658,-0.0015613590116764,0.5181308787668345,-6.777829444056672e-05
北京楼市限制政策开了点缝隙：全龄友好购房支持政策。岁以上的人迁移到项目所在地，购房享受金融优待。一区一策试点：多子女家庭和职住平衡家庭购房支持政策按“一区一策”方式由房山区试点。首都的动作大家都在看着呢。从年开始迄今，最紧跟北京市动作的是深圳，每个动作都抄作业了。这一次看看怎么抄？,0.0146341463414634,-0.0902495709275239,0.6763285024154588,-0.0013946967601899
北京拟恢复按实际房租提取公积金北京市住房公积金管理中心上月发布了《关于进一步优化租房提取业务的通知（征求意见稿）》，提出申请人租住本市商品房，每人每月提取公积金金额上限由元调整为元。提取金额上限提高后，普通家庭提供发票按实际房租提取的方式被取消。月日，记者从北京市住房公积金管理中心获悉，该征求意见稿已结束征集意见，将采纳公众提出的建议，拟恢复上述提取方式。月日，北京市住房公积金管理中心发布《关于进一步优化租房提取业务的通知（征求意见稿）》。记者注意到，相比目前执行的规定，该征求意见稿主要调整了提取金额的上限。征求意见稿提出，申请人租住本市商品住房，每人每月提取公积金金额不超过元，相比目前元的提取金额上限，增加了元。按照这一征求意见稿，在提高租住商品房的提取上限后，普通家庭提供租房发票按照实际房租提取公积金的方式将被取消，增添了多子女家庭可以每月按照实际月租金全额提取的内容。北京市住房公积金管理中心表示，在意见征集过程中，针对“恢复租住商品房（提供发票）提取”的意见比较集中，且北京市住房公积金管理中心已吸收采纳这一建议。目前，征求意见稿中已增加“租住商品住房（提供发票）提取”情形。租住本市商品住房，提供租房发票并在“北京市房屋租赁管理服务平台”办理房屋租赁合同备案的，可申请此类租房提取。也就是说，租房提取公积金新政正式实施后，申请人租商品房可选择两种方式提取公积金。如果不提供发票，每人每月可以提取元。如果提供发票，则可以按照实际月租金来提取，但不能超过申请人的公积金月缴存额。据悉，在意见征集期间，北京住房公积金管理中心共收到社会各界意见建议条，除了上述意见外，也有市民提出了“提升每月元的提取额度”“可随时灵活支取住房公积金”等意见，这些意见均未被采纳。针对“提升每月元的提取额度”的建议，北京住房公积金管理中心不予采纳，其表示，从全国来看，对于非网签备案范围的租房提取，上海市公积金管理中心每户家庭最高月提取限额为元、广州住房公积金管理中心每人最高提取限额为元。北京此次将每人每月元的无房租房提取额度提高至元，家庭无房租房提取额度提高至元，此提取额度在全国住房公积金租房提取政策中已处于较高水平。另外，北京住房公积金管理中心表示，每月元的提取额度属于基本保障，如申请人认为无房租房提取额度较低，不能满足实际租房需要，还可选择“租住商品住房（提供发票）”“租住公共租赁住房”“租住保障性租赁住房”方式提取住房公积金，上述方式均可按照实际月租金提取住房公积金。（北京日报）,0.1024390243902439,-0.0346980979608957,0.4821389567326373,-0.002675795312789
北京拟恢复按实际房租提取公积金北京市住房公积金管理中心上月发布了《关于进一步优化租房提取业务的通知（征求意见稿）》，提出申请人租住本市商品房，每人每月提取公积金金额上限由元调整为元。提取金额上限提高后，普通家庭提供发票按实际房租提取的方式被取消。月日，记者从北京市住房公积金管理中心获悉，该征求意见稿已结束征集意见，将采纳公众提出的建议，拟恢复上述提取方式。月日，北京市住房公积金管理中心发布《关于进一步优化租房提取业务的通知（征求意见稿）》。记者注意到，相比目前执行的规定，该征求意见稿主要调整了提取金额的上限。征求意见稿提出，申请人租住本市商品住房，每人每月提取公积金金额不超过元，相比目前元的提取金额上限，增加了元。按照这一征求意见稿，在提高租住商品房的提取上限后，普通家庭提供租房发票按照实际房租提取公积金的方式将被取消，增添了多子女家庭可以每月按照实际月租金全额提取的内容。北京市住房公积金管理中心表示，在意见征集过程中，针对“恢复租住商品房（提供发票）提取”的意见比较集中，且北京市住房公积金管理中心已吸收采纳这一建议。目前，征求意见稿中已增加“租住商品住房（提供发票）提取”情形。租住本市商品住房，提供租房发票并在“北京市房屋租赁管理服务平台”办理房屋租赁合同备案的，可申请此类租房提取。也就是说，租房提取公积金新政正式实施后，申请人租商品房可选择两种方式提供公积金。如果不提供发票，每人每月可以提取元。如果提供发票，则可以按照实际月租金来提取，但不能超过申请人的公积金月缴存额。据悉，在意见征集期间，北京住房公积金管理中心共收到社会各界意见建议条，除了上述意见外，也有市民提出了“提升每月元的提取额度”“可随时灵活支取住房公积金”等意见，这些意见均未被采纳。针对“提升每月元的提取额度”的建议，北京住房公积金管理中心不予采纳，其表示，从全国来看，对于非网签备案范围的租房提取，上海市公积金管理中心每户家庭最高月提取限额为元、广州住房公积金管理中心每人最高提取限额为元。北京此次将每人每月元的无房租房提取额度提高至元，家庭无房租房提取额度提高至元，此提取额度在全国住房公积金租房提取政策中已处于较高水平。另外，北京住房公积金管理中心表示，每月元的提取额度属于基本保障，如申请人认为无房租房提取额度较低，不能满足实际租房需要，还可选择“租住商品住房（提供发票）”“租住公共租赁住房”“租住保障性租赁住房”方式提取住房公积金，上述方式均可按照实际月租金提取住房公积金。（北京日报）,0.0536585365853658,-0.5075923882879042,0.8640985979059458,-0.0367474144756157
公积金租房额度能否提至每月元？北京住房公积金管理中心这样回应年月日至月日，北京住房公积金管理中心针对《关于进一步优化租房提取业务的通知（征求意见稿）》向社会公开征集意见。经统计，共收到社会各界意见建议条，主要集中在建议恢复租住商品房（提供发票）提取、提升每月元的提取额度、非多子女家庭也可按照实际月租金提取、可随时灵活支取住房公积金等方面。月日，北京青年报记者获悉，北京住房公积金管理中心将意见采纳情况进行了公开说明。针对“恢复租住商品房（提供发票）提取”的建议已采纳，在征求意见稿中增加了“租住商品住房（提供发票）提取”情形。租住北京市商品住房，提供租房发票并在“北京市房屋租赁管理服务平台”办理房屋租赁合同备案的，可申请此类租房提取。而针对“提升每月元的提取额度”的建议没有采纳，北京住房公积金管理中心解释，首先从全国来看，对于非网签备案范围的租房提取，上海市公积金管理中心每户家庭最高月提取限额为元、广州住房公积金管理中心每人最高提取限额为元。从每人每月元的无房租房提取额度提高至元，家庭无房租房提取额度提高至元，此提取额度在全国住房公积金租房提取政策中已处于较高水平。其次是每月元的提取额度属于基本保障，如认为无房租房提取额度较低，不能满足实际租房需要，租房人还可选择“租住商品住房（提供发票）”“租住公共租赁住房”“租住保障性租赁住房”方式提取住房公积金。中心着重支持租住北京市公共租赁住房及保障性租赁住房，可按照实际月租金提取住房公积金。多子女家庭新增租房也可按照实际房租提取的业务场景。此外，“可随时灵活支取住房公积金”的建议也没有被采纳，理由为：《住房公积金管理条例》第二十四条规定：“职工有下列情形之一的，可以提取职工住房公积金账户内的存储余额：（一）购买、建造、翻建、大修自住住房的；（二）离休、退休的；（三）完全丧失劳动能力，并与单位终止劳动关系的；（四）出境定居的；（五）偿还购房贷款本息的；（六）房租超出家庭工资收入的规定比例的。”所以，职工申请提取住房公积金，必须符合以上提取条件并提供合规材料，经审核通过后才能办理提取手续。版权声明本文著作权（含信息网络传播权）归属北京青年报社所有，未经授权不得转载文北京青年报记者宋霞,0.0146341463414634,0.1003116395355052,0.6666666666666666,0.0015280481018176
拟恢复按实际房租提取北京租房公积金：北京租房提取公积金新政采纳公众意见北京市住房公积金管理中心上月发布了《关于进一步优化租房提取业务的通知（征求意见稿）》，提出申请人租住本市商品房，每人每月提取公积金金额上限由元调整为元。提取金额上限提高后，普通家庭提供发票按实际房租提取的方式被取消。月日，记者从北京市住房公积金管理中心获悉，该征求意见稿已结束征集意见，将采纳公众提出的建议，拟恢复上述提取方式。月日，北京市住房公积金管理中心发布《关于进一步优化租房提取业务的通知（征求意见稿）》。记者注意到，相比目前执行的规定，该征求意见稿主要调整了提取金额的上限。征求意见稿提出，申请人租住本市商品住房，每人每月提取公积金金额不超过元，相比目前元的提取金额上限，增加了元。按照这一征求意见稿，在提高租住商品房的提取上限后，普通家庭提供租房发票按照实际房租提取公积金的方式将被取消，增添了多子女家庭可以每月按照实际月租金全额提取的内容。北京市住房公积金管理中心表示，在意见征集过程中，针对“恢复租住商品房（提供发票）提取”的意见比较集中，且北京市住房公积金管理中心已吸收采纳这一建议。目前，征求意见稿中已增加“租住商品住房（提供发票）提取”情形。租住本市商品住房，提供租房发票并在“北京市房屋租赁管理服务平台”办理房屋租赁合同备案的，可申请此类租房提取。也就是说，租房提取公积金新政正式实施后，申请人租商品房可选择两种方式提供公积金。如果不提供发票，每人每月可以提取元。如果提供发票，则可以按照实际月租金来提取，但不能超过申请人的公积金月缴存额。据悉，在意见征集期间，北京住房公积金管理中心共收到社会各界意见建议条，除了上述意见外，也有市民提出了“提升每月元的提取额度”“可随时灵活支取住房公积金”等意见，这些意见均未被采纳。针对“提升每月元的提取额度”的建议，北京住房公积金管理中心不予采纳，其表示，从全国来看，对于非网签备案范围的租房提取，上海市公积金管理中心每户家庭最高月提取限额为元、广州住房公积金管理中心每人最高提取限额为元。北京此次将每人每月元的无房租房提取额度提高至元，家庭无房租房提取额度提高至元，此提取额度在全国住房公积金租房提取政策中已处于较高水平。另外，北京住房公积金管理中心表示，每月元的提取额度属于基本保障，如申请人认为无房租房提取额度较低，不能满足实际租房需要，还可选择“租住商品住房（提供发票）”“租住公共租赁住房”“租住保障性租赁住房”方式提取住房公积金，上述方式均可按照实际月租金提取住房公积金。（北京日报）,0.024390243902439,-0.0503480297255032,0.6714975845410628,-0.0012875160166786
北京拟恢复按实际房租提取公积金北京市住房公积金管理中心上月发布了《关于进一步优化租房提取业务的通知（征求意见稿）》，提出申请人租住本市商品房，每人每月提取公积金金额上限由元调整为元。提取金额上限提高后，普通家庭提供发票按实际房租提取的方式被取消。月日，记者从北京市住房公积金管理中心获悉，该征求意见稿已结束征集意见，将采纳公众提出的建议，拟恢复上述提取方式。月日，北京市住房公积金管理中心发布《关于进一步优化租房提取业务的通知（征求意见稿）》。记者注意到，相比目前执行的规定，该征求意见稿主要调整了提取金额的上限。征求意见稿提出，申请人租住本市商品住房，每人每月提取公积金金额不超过元，相比目前元的提取金额上限，增加了元。按照这一征求意见稿，在提高租住商品房的提取上限后，普通家庭提供租房发票按照实际房租提取公积金的方式将被取消，增添了多子女家庭可以每月按照实际月租金全额提取的内容。北京市住房公积金管理中心表示，在意见征集过程中，针对“恢复租住商品房（提供发票）提取”的意见比较集中，且北京市住房公积金管理中心已吸收采纳这一建议。目前，征求意见稿中已增加“租住商品住房（提供发票）提取”情形。租住本市商品住房，提供租房发票并在“北京市房屋租赁管理服务平台”办理房屋租赁合同备案的，可申请此类租房提取。也就是说，租房提取公积金新政正式实施后，申请人租商品房可选择两种方式提取公积金。如果不提供发票，每人每月可以提取元。如果提供发票，则可以按照实际月租金来提取，但不能超过申请人的公积金月缴存额。据悉，在意见征集期间，北京住房公积金管理中心共收到社会各界意见建议条，除了上述意见外，也有市民提出了“提升每月元的提取额度”“可随时灵活支取住房公积金”等意见，这些意见均未被采纳。针对“提升每月元的提取额度”的建议，北京住房公积金管理中心不予采纳，其表示，从全国来看，对于非网签备案范围的租房提取，上海市公积金管理中心每户家庭最高月提取限额为元、广州住房公积金管理中心每人最高提取限额为元。北京此次将每人每月元的无房租房提取额度提高至元，家庭无房租房提取额度提高至元，此提取额度在全国住房公积金租房提取政策中已处于较高水平。另外，北京住房公积金管理中心表示，每月元的提取额度属于基本保障，如申请人认为无房租房提取额度较低，不能满足实际租房需要，还可选择“租住商品住房（提供发票）”“租住公共租赁住房”“租住保障性租赁住房”方式提取住房公积金，上述方式均可按照实际月租金提取住房公积金。（北京日报记者鹿杨）北京日报都视频的微博视频,1.0,0.6404576797325017,1.0,1.0
（买房的人有救了）之前河南省高级人民法院提交了一个《关于明确房企风险化解中权利顺位问题的请示》，这些请示中就设计到房屋不能交付的情况，在月日，最高人民法院做出《关于商品房消费者权利保护问题的批复》，表示支持烂尾楼业主退款。买到烂尾楼可以退款了望京奶西村富华里北京楼市超话北京买房,1.0,-0.98161174230917,,
经济日报：探索房地产业发展新模式经济日报文章指出，房地产业未来发展的大势是基本清晰的，发展新模式也须顺应大势。过去高杠杆、高负债、高周转的模式积弊已久，已行不通。我国已经从过去的大拆大建走向开发与改造并重的城市更新阶段；租购并举之下，住房租赁在解决居住问题方面将发挥更突出作用；美好居住生活不仅需要更优质的房子，还需要更好的配套和服务等。在城中村改造过程中发展住房租赁，有利于租购并举解决好城镇居民的居住问题，值得推广借鉴。在超大特大城市推进“平急两用”公共基础设施建设，有助于更好统筹发展与安全。各地应以保障性租赁住房为重点，持续推进保障性住房的规划建设。,0.0171428571428571,-0.9285785201686564,0.6042084056532466,-0.0450112433978443
