文本,宏观集群密度,帖子平均情绪值,宏观集群信任度值,群体情绪指数1,时间
杭州调整住房限购范围据“杭州住保房管”公众号消息，今天，杭州市房地产市场平稳健康发展领导小组办公室发布《关于优化调整房地产市场调控措施的通知》。《通知》明确优化住房限购政策，将本市住房限购范围调整为上城区、拱墅区、西湖区、滨江区。本市户籍家庭在本市限购范围内限购套住房；非展开,0.078853046594982,-0.0572224000264574,0.6227798670877523,-0.0282636926232856,2023-02-20 10:26:12
杭州市最新楼市文件，几乎全面放开限购了。新政策后，就只有四个区进行限购了。但是所谓的限购是：在限购区内，本市户口可以最多购买两套，外地户口只要有过社保和纳税记录就可以购买一套。所以几乎全部放开了，目前的限购政策已经没有任何威力了。我早几天就在说杭州亚运会后是一定会放开的，果不其然。杭州调整住房限购范围杭州优化调整房地产市场调控措施,0.4874551971326165,0.160295799056721,0.6079499262374652,0.4777871290242472,2023-02-20 10:23:28
房地产杭州松绑限购。作为去杭州买卖过的外地人，说几句：除上城西湖拱墅滨江之外全部打开限购。但实际上，杭州楼市最有价值的，是这四区的限价新盘；其余完全放开限购。其中唯二有价值的，奥体未来科技城。用意很明显，这两个明星板块吸引外地人。和西安的奥体高新一样，提升楼市热度，推动市场；摇号弃选弃购，不再限制购房登记。直到你满意的买到房为止。杭州今年小阳春短暂虚火，二手又继续阴跌。急需外地新鲜血液；杭州不限购的片区，结合多的规划供应量，大部分短期都没有投资价值。杭州优化调整房地产市场调控措施,0.3082437275985663,0.0355278644320622,0.5973738423284111,0.0657990075416114,2023-02-20 10:00:28
杭州优化调整房地产市场调控措施杭州楼市出政策了但核心是保卖地，不是保二手房价呀。我预测杭州绝大多数二手向下的趋势不变。真正利于杭州杭州政策的只有三个：不限购，放开准入，低首付比例。（但是这个影响程度非常小，现在限购也部分区域放开了，低首付也来了）。核心是减少土地供应。展开,0.03584229390681,-0.0208741786876445,0.7127476465785745,-0.0053635307617068,2023-02-20 09:48:09
杭州限购范围调整为上城区、拱墅区、西湖区、滨江区为认真贯彻落实党中央、国务院决策部署，坚持房子是用来住的、不是用来炒的定位，适应房地产市场供求关系发生重大变化的新形势，持续加大保障性住房建设和供给力度，更好满足刚性和改善性住房需求，促进房地产市场平稳健康发展，今天，杭州市房地产市场平稳健康发展领导小组办公室发布《关于优化调整房地产市场调控措施的通知》（以下简称《通知》），从加大保障性住房建设和供给、优化住房限购政策、加强住房信贷支持力度、优化住宅用地供应、强化预售资金监管、规范房地产市场秩序等方面进一步完善房地产市场调控。《通知》明确加大保障性住房建设和供给，提高保障性住房在住房总供给中的比例，加快解决工薪收入群体住房困难，推动建立房地产业转型发展新模式。《通知》明确优化住房限购政策，将本市住房限购范围调整为上城区、拱墅区、西湖区、滨江区。本市户籍家庭在本市限购范围内限购套住房；非本市户籍家庭在本市市区范围内有缴纳城镇社保或个人所得税记录的，在本市限购范围内限购套住房。此外，对参与本市限购范围内住房司法拍卖的竞买人，取消“须符合本市住房限购政策”限制。网页链接,0.003584229390681,0.541998486868593,0.7052450397724843,0.0137798249748552,2023-02-20 09:44:42
杭州优化调整房地产市场调控措施将本市住房限购范围调整为上城区、拱墅区、西湖区、滨江区月日，据“杭州住保房管”公众号消息，今天，杭州市房地产市场平稳健康发展领导小组办公室发布《关于优化调整房地产市场调控措施的通知》。《通知》明确优化住房限购政策，将本市住房限购范围调整为上城区、拱墅区、西湖区、滨江区。本市户籍家庭在本市限购范围内限购套住房；非本市户籍家庭在本市市区范围内有缴纳城镇社保或个人所得税记录的，在本市限购范围内限购套住房。此外，对参与本市限购范围内住房司法拍卖的竞买人，取消“须符合本市住房限购政策”限制。,0.003584229390681,-0.8486929359320601,0.7127476465785745,-0.0218068012985306,2023-02-20 09:41:43
杭州房产政策调整：非杭州户籍凭社保个税缴纳记录限购套房月日，杭州市房地产市场平稳健康发展领导小组办公室发布《关于优化调整房地产市场调控措施的通知》，从加大保障性住房建设和供给、优化住房限购政策、加强住房信贷支持力度、优化住宅用地供应、强化预售资金监管、规范房地产市场秩序等方面进一步完善房地产市场调控。杭州住房限购范围调整为上城区、拱墅区、西湖区、滨江区。本市户籍家庭在本市限购范围内限购套住房；非本市户籍家庭在本市市区范围内有缴纳城镇社保或个人所得税记录的，在本市限购范围内限购套住房。此外，对参与本市限购范围内住房司法拍卖的竞买人，取消“须符合本市住房限购政策”限制。都市快报,0.3548387096774194,-0.2290052944707881,0.6524872968933904,-0.5332837688812153,2023-02-20 09:27:31
微互动丨你会在杭州买房吗？杭州优化调整房地产市场调控措施，杭州调整限购范围，你会在杭州买房吗？杭州调整住房限购范围,1.0,-0.1655397449273832,0.5873868250103298,-0.9779941862366722,2023-02-20 09:26:20
重磅杭州优化调整房地产市场调控措施杭州调整限购范围今天，杭州市房地产市场平稳健康发展领导小组办公室发布《关于优化调整房地产市场调控措施的通知》，从加大保障性住房建设和供给、优化住房限购政策、加强住房信贷支持力度、优化住宅用地供应、强化预售资金监管、规范房地产市场秩序等方面进一步完善房地产市场调控。详情戳关于优化调整房地产市场调控措施的通知（资料市住保房管局）,0.1326164874551971,0.5045216202778564,0.7423534968773884,0.4995717267390573,2023-02-20 09:15:33
杭州优化调整房地产市场调控措施今天，杭州市房地产市场平稳健康发展领导小组办公室发布《关于优化调整房地产市场调控措施的通知》，从加大保障性住房建设和供给、优化住房限购政策、加强住房信贷支持力度、优化住宅用地供应、强化预售资金监管、规范房地产市场秩序等方面进一步完善房地产市场调控。中国蓝新闻,0.1505376344086021,0.660457874578654,1.0,1.0,2023-02-20 09:05:41
