文本,宏观集群密度,帖子平均情绪值,宏观集群信任度值,群体情绪指数1,时间
海口回应放松楼市限售政策属实针对网传海口放松楼市限售政策，限售年限由“五年”改为“两年”的市场传闻，记者向海口市住房和城乡建设局进行了求证。海口市住房和城乡建设局工作人员回应称，消息属实，政策是上周五开始执行，但目前文件没有对外公开。房地产（中证金牛座）;0.0244956772334293;0.2056909513053453;0.9933507666512094;0.014396411206579085,,,,,
海口放松楼市限售政策：限售年限由“五年”改为“两年”近日，海口市住房和城乡建设局发布关于优化房地产政策的通知，对商品住房限制转让政策进行优化，即居民家庭购买的商品住房，在购房合同备案满年并取得不动产权证后可转让。据悉，此前海口的楼市“限售”政策为购房合同备案满年才可对外销售。（蓝鲸记者陈业）楼市动态房地产超话;0.0273775216138328;0.4541834336832129;0.7004875204461293;0.02505375327741617,,,,,
楼市动态网传海口放松楼市限售政策？官方回应消息属实月日，针对网传海口放松楼市限售政策，限售年限由“五年”改为“两年”的市场传闻，记者向海口市住房和城乡建设局进行了求证。海口市住房和城乡建设局工作人员回应称，消息属实，政策是上周五开始执行，但目前文件没有对外公开。针对网络广泛流传的红头文件内容，上述工作人员回复称，内容均属实。其中，多孩家庭可以购买第三套住房。;0.0014409221902017;0.9998763211120844;0.8224377545231923;0.0034082922404815507,,,,,
海口楼市限售年限由五年改为两年尿壶里都没几滴尿了，还在扭捏，还可以继续放松，哪怕全部解开也问题不大。;0.0014409221902017;0.8984322140722698;0.8681287408855919;0.0032326371052178947,,,,,
海口楼市限售改为两年海口楼市限售由五年改为两年月日，针对网传海口放松楼市限售政策，限售年限由原来“五年”改为“两年”的市场消息，向海口市产权交易中心购房资格审核部门进行求证，相关工作人员表示，“政策已经执行，备案满两年有证即可交易。”澎湃新闻，泽塔;0.031700288184438;0.2826184284258648;0.6226164184523719;0.01604468629807221,,,,,
海口放松楼市限售政策：限售年限由“五年”改为“两年”深圳楼市论谈海口放松楼市限售政策海口楼市动态海口楼市最新消息深圳楼市论谈的微博视频;0.0028818443804034;-0.8257276279935684;0.8224377545231923;-0.005629338364792089,,,,,
网传海口放松楼市限售政策？官方回应消息属实据中国证券报报道，月日，针对网传海口放松楼市限售政策，限售年限由“五年”改为“两年”的市场传闻，记者向海口市住房和城乡建设局进行了求证。海口市住房和城乡建设局工作人员回应称，消息属实，政策是上周五开始执行，但目前文件没有对外公开。针对网络广泛流传的红头文件内容，上述工作人员回复称，内容均属实。其中，多孩家庭可以购买第三套住房。;0.0014409221902017;-0.1627906976744191;0.8681287408855919;-0.0005857350631956577,,,,,
官方确认海口放松楼市限售政策：海口多孩家庭可购买第三套住房月日，针对网传海口放松楼市限售政策，限售年限由“五年”改为“两年”的市场传闻，海口市住房和城乡建设局工作人员回应称，消息属实，政策是上周五开始执行，但目前文件没有对外公开。针对网络广泛流传的红头文件内容，上述工作人员回复称，内容均属实。其中，多孩家庭可以购买第三套住房。（中证金牛座）;0.0043227665706051;-0.4325836058933341;1.0;-0.005378718487983541,,,,,
海口放松楼市限售政策消息属实月日，针对网传海口放松楼市限售政策，限售年限由“五年”改为“两年”的市场传闻，记者向海口市住房和城乡建设局进行了求证。海口市住房和城乡建设局工作人员回应称，消息属实，政策是上周五开始执行，但目前文件没有对外公开。（中证金牛座）;0.0216138328530259;0.5203024051409937;0.4878344779059064;0.01578000320409915,,,,,
实时播报：网传海口放松楼市限售政策？官方回应称消息属实月日，针对网传海口放松楼市限售政策，限售年限由“五年”改为“两年”的市场传闻，海口市住房和城乡建设局工作人员回应称，消息属实，政策是上周五开始执行，但目前文件没有对外公开。针对网络广泛流传的红头文件内容，上述工作人员回复称，内容均属实。其中，多孩家庭可以购买第三套住房。（中证金牛座）;0.0172910662824207;-0.703840255257099;0.9885573875990764;-0.034605468855719496,,,,,
海口回应放松楼市限售政策属实针对网传海口放松楼市限售政策，限售年限由“五年”改为“两年”的市场传闻，记者向海口市住房和城乡建设局进行了求证。海口市住房和城乡建设局工作人员回应称，消息属实，政策是上周五开始执行，但目前文件没有对外公开。（中证金牛座）;0.0057636887608069;0.9831572987153612;0.8224377545231923;0.013405207510694902,,,,,
行业要闻、由谷歌旗下拆分而来的医药公司宣布与礼来和诺华签署了首个制药合作伙伴关系合同，将技术用于新药物的发现。、美迎来第二大新冠感染浪潮警告：已成全球最主流新冠病毒。、全球首个通过碱基编辑疗法治愈的血红蛋白病患者诞生。、民航业主要指标有望创新高，国际市场成重要增长点。、瑞银：股倍投资机会全球难寻。、月日至日，全国商务工作会议在京召开，推动消费持续扩大，打造投资中国品牌。、海口放松楼市限售政策，限售年限由“五年”改为“两年”;0.1412103746397694;-0.071634260355006;0.908017813356923;-0.02641975152364311,,,,,
每日简报早上好年月日星期二农历冬月廿八、教育：推进义务教育教学改革，在全国设立个实验区、所实验校；、全国铁路日起实行新运行图，每天旅客列车增列；、继甲流后乙流患病比例明显升高，儿科医生：休息好是最好的药物；、我国大部三九期间气温偏高，南方多地暖如三月；、年春运月日开始，共天；、波音全球停飞股价暴跌；、陕西新添个国家级生态农场；、在华销量同比大跌；、广州：房票全市通用，可以转让、限转一次；、海口放松楼市限售政策：限售年限由“五年”改为“两年”；、东航京沪航线启用国产大飞机，经济舱票价元起；、“足球皇帝”贝肯鲍尔去世，享年岁，世界足坛悼念贝肯鲍尔；微语你之所以觉得时间一年比一年过得快，是因为时间对你一年比一年重要。早安秦东记的微博视频;1.0;0.6579552516968916;0.5283925287823842;1.0,,,,,
海口放松楼市限售政策：限售年限由“五年”改为“两年”月日据蓝鲸，近日，海口市住房和城乡建设局发布关于优化房地产政策的通知，对商品住房限制转让政策进行优化，即居民家庭购买的商品住房，在购房合同备案满年并取得不动产权证后可转让。据悉，此前海口的楼市“限售”政策为购房合同备案满年才可对外销售。股票;0.0072046109510086;-0.205745392298152;0.8681287408855919;-0.003701448918199224,,,,,
年月日星期二农历十一月廿八六部门部署无偿献血者激励奖励工作：优先用血、免费乘坐公交等。人社部：要对所有灵活就业人员免费提供基本就业公共服务。民航局：春运民航旅客运输量预计将达万人次，有望创历史新高。全国铁路明日起实行新运行图，每日旅客列车增加列。北京丰台：将探索建立教师退出机制，打破“铁饭碗”观念。浙江“个转企”新政：允许直接变更，无需注销个体户再设企业。海口放松楼市限售政策：限售年限由“五年”改为“两年”。广州“房票安置”政策细化：房票全市通用，可以转让、限转一次。客机舱门掉落事件后，多国航司停飞波音型客机。沙特发现世界级金矿，矿床长达公里，初步估算蕴含超过吨黄金。美国私营企业首次挑战登月任务，发射“游隼”月球着陆器。日本志贺核电站变压器因地震泄漏近万升油，油污流入大海。日本外相宣布：将向北约拨款约万美元，用于支持乌克兰。韩军：因朝鲜连续天炮击，朝韩再无缓冲区。也门胡塞武装提议：只要船只声明与以色列无关，就不会遇袭。;0.0072046109510086;0.649915101625469;0.9595107136103912;0.0129230184586292,,,,,
