发布者;IP属地;帖子账号粉丝数;转发数;评论数;点赞数;文本;话题;一级账号粉丝数;用户名;评论属地;评论内容;评论时间;评论点赞数;主题相似度;标记;是否为官媒
风闻社区;;0;4;16;33;韩国又闹“萨德”中国安全决不能由别人来决定后沙月光本尊：据韩联社日报道，关于驻韩美军“萨德”（）反导基地，预计韩国防部相关计划最早将于月内完成，届时将走完“萨德”在韩正式部署所需程序。根据去年月韩国外交部和驻韩美军指挥官组成的《驻韩美军地位协定》（）联合委员会签署供地文件，韩方将为“萨德”基地再向美方供地万平方米。韩国一些“反萨德”民间团体对此进行了抗议，理由是环境保护。韩国官方和民间这样闹来闹去，是想将“萨德”转化为一个法律问题，掩人耳目，避开其事关地缘政治和东北亚安全问题的实质。;@后沙月光本尊;633;旗正飘飘1937;天津;多年不动刀，都真以为兔子吃素了！ http://t.cn/A69bPYvM;2023-01-15 20:00:44;6;8.804142343401807e-05;0;0
风闻社区;;0;4;16;33;韩国又闹“萨德”中国安全决不能由别人来决定后沙月光本尊：据韩联社日报道，关于驻韩美军“萨德”（）反导基地，预计韩国防部相关计划最早将于月内完成，届时将走完“萨德”在韩正式部署所需程序。根据去年月韩国外交部和驻韩美军指挥官组成的《驻韩美军地位协定》（）联合委员会签署供地文件，韩方将为“萨德”基地再向美方供地万平方米。韩国一些“反萨德”民间团体对此进行了抗议，理由是环境保护。韩国官方和民间这样闹来闹去，是想将“萨德”转化为一个法律问题，掩人耳目，避开其事关地缘政治和东北亚安全问题的实质。;@后沙月光本尊;5136;姚摩诃;广东;除了经济制裁，中国没有什么很好的反制手段[挖鼻];2023-01-15 20:24:07;1;8.804142343401807e-05;0;0
风闻社区;;0;4;16;33;韩国又闹“萨德”中国安全决不能由别人来决定后沙月光本尊：据韩联社日报道，关于驻韩美军“萨德”（）反导基地，预计韩国防部相关计划最早将于月内完成，届时将走完“萨德”在韩正式部署所需程序。根据去年月韩国外交部和驻韩美军指挥官组成的《驻韩美军地位协定》（）联合委员会签署供地文件，韩方将为“萨德”基地再向美方供地万平方米。韩国一些“反萨德”民间团体对此进行了抗议，理由是环境保护。韩国官方和民间这样闹来闹去，是想将“萨德”转化为一个法律问题，掩人耳目，避开其事关地缘政治和东北亚安全问题的实质。;@后沙月光本尊;5136;姚摩诃;广东;回复@薄荷糖1qaz:北边更加桀骜不驯，就是只喂不熟的狼，送了也不会听你的。而且这个国家太封闭了，你几乎没有影响他的办法。;2023-01-15 20:51:39;1;8.804142343401807e-05;1;0
风闻社区;;0;4;16;33;韩国又闹“萨德”中国安全决不能由别人来决定后沙月光本尊：据韩联社日报道，关于驻韩美军“萨德”（）反导基地，预计韩国防部相关计划最早将于月内完成，届时将走完“萨德”在韩正式部署所需程序。根据去年月韩国外交部和驻韩美军指挥官组成的《驻韩美军地位协定》（）联合委员会签署供地文件，韩方将为“萨德”基地再向美方供地万平方米。韩国一些“反萨德”民间团体对此进行了抗议，理由是环境保护。韩国官方和民间这样闹来闹去，是想将“萨德”转化为一个法律问题，掩人耳目，避开其事关地缘政治和东北亚安全问题的实质。;@后沙月光本尊;5136;薄荷糖1qaz;北京;给北边送10啊[doge];2023-01-15 20:45:11;0;8.804142343401807e-05;1;0
风闻社区;;0;4;16;33;韩国又闹“萨德”中国安全决不能由别人来决定后沙月光本尊：据韩联社日报道，关于驻韩美军“萨德”（）反导基地，预计韩国防部相关计划最早将于月内完成，届时将走完“萨德”在韩正式部署所需程序。根据去年月韩国外交部和驻韩美军指挥官组成的《驻韩美军地位协定》（）联合委员会签署供地文件，韩方将为“萨德”基地再向美方供地万平方米。韩国一些“反萨德”民间团体对此进行了抗议，理由是环境保护。韩国官方和民间这样闹来闹去，是想将“萨德”转化为一个法律问题，掩人耳目，避开其事关地缘政治和东北亚安全问题的实质。;@后沙月光本尊;434;疾风等劲草;其他;朝鲜也不会坐视不管吧;2023-01-17 13:28:58;0;8.804142343401807e-05;0;0
风闻社区;;0;4;16;33;韩国又闹“萨德”中国安全决不能由别人来决定后沙月光本尊：据韩联社日报道，关于驻韩美军“萨德”（）反导基地，预计韩国防部相关计划最早将于月内完成，届时将走完“萨德”在韩正式部署所需程序。根据去年月韩国外交部和驻韩美军指挥官组成的《驻韩美军地位协定》（）联合委员会签署供地文件，韩方将为“萨德”基地再向美方供地万平方米。韩国一些“反萨德”民间团体对此进行了抗议，理由是环境保护。韩国官方和民间这样闹来闹去，是想将“萨德”转化为一个法律问题，掩人耳目，避开其事关地缘政治和东北亚安全问题的实质。;@后沙月光本尊;1;Swalor233;江苏;对马穿行，仅此而已[笑cry][笑cry][笑cry];2023-01-16 08:56:33;0;8.804142343401807e-05;0;0
风闻社区;;0;4;16;33;韩国又闹“萨德”中国安全决不能由别人来决定后沙月光本尊：据韩联社日报道，关于驻韩美军“萨德”（）反导基地，预计韩国防部相关计划最早将于月内完成，届时将走完“萨德”在韩正式部署所需程序。根据去年月韩国外交部和驻韩美军指挥官组成的《驻韩美军地位协定》（）联合委员会签署供地文件，韩方将为“萨德”基地再向美方供地万平方米。韩国一些“反萨德”民间团体对此进行了抗议，理由是环境保护。韩国官方和民间这样闹来闹去，是想将“萨德”转化为一个法律问题，掩人耳目，避开其事关地缘政治和东北亚安全问题的实质。;@后沙月光本尊;251;展颜卿;其他;我比较想知道这方面我们会怎么反制[微笑];2023-01-15 23:12:17;0;8.804142343401807e-05;0;0
风闻社区;;0;4;16;33;韩国又闹“萨德”中国安全决不能由别人来决定后沙月光本尊：据韩联社日报道，关于驻韩美军“萨德”（）反导基地，预计韩国防部相关计划最早将于月内完成，届时将走完“萨德”在韩正式部署所需程序。根据去年月韩国外交部和驻韩美军指挥官组成的《驻韩美军地位协定》（）联合委员会签署供地文件，韩方将为“萨德”基地再向美方供地万平方米。韩国一些“反萨德”民间团体对此进行了抗议，理由是环境保护。韩国官方和民间这样闹来闹去，是想将“萨德”转化为一个法律问题，掩人耳目，避开其事关地缘政治和东北亚安全问题的实质。;@后沙月光本尊;410;70年chinatele-xs;江苏;咱们的地缘环境不是一般差[汗];2023-01-15 22:55:25;0;8.804142343401807e-05;0;0
风闻社区;;0;4;16;33;韩国又闹“萨德”中国安全决不能由别人来决定后沙月光本尊：据韩联社日报道，关于驻韩美军“萨德”（）反导基地，预计韩国防部相关计划最早将于月内完成，届时将走完“萨德”在韩正式部署所需程序。根据去年月韩国外交部和驻韩美军指挥官组成的《驻韩美军地位协定》（）联合委员会签署供地文件，韩方将为“萨德”基地再向美方供地万平方米。韩国一些“反萨德”民间团体对此进行了抗议，理由是环境保护。韩国官方和民间这样闹来闹去，是想将“萨德”转化为一个法律问题，掩人耳目，避开其事关地缘政治和东北亚安全问题的实质。;@后沙月光本尊;567;粕类要西;上海;布置萨德，韩国真的会更安全吗？[doge];2023-01-15 19:53:04;0;8.804142343401807e-05;0;0
风闻社区;;0;4;16;33;韩国又闹“萨德”中国安全决不能由别人来决定后沙月光本尊：据韩联社日报道，关于驻韩美军“萨德”（）反导基地，预计韩国防部相关计划最早将于月内完成，届时将走完“萨德”在韩正式部署所需程序。根据去年月韩国外交部和驻韩美军指挥官组成的《驻韩美军地位协定》（）联合委员会签署供地文件，韩方将为“萨德”基地再向美方供地万平方米。韩国一些“反萨德”民间团体对此进行了抗议，理由是环境保护。韩国官方和民间这样闹来闹去，是想将“萨德”转化为一个法律问题，掩人耳目，避开其事关地缘政治和东北亚安全问题的实质。;@后沙月光本尊;387;陈年老tang-new;北京;该炸就炸;2023-01-15 19:39:44;3;8.804142343401807e-05;0;0
