发布者;IP属地;帖子账号粉丝数;转发数;评论数;点赞数;文本;话题;一级账号粉丝数;用户名;评论属地;评论内容;评论时间;评论点赞数;主题相似度;标记;是否为官媒
实战张姐说;广东;0;9;31;369;第三次房地产救市开始了，这次救市利好因素还是很多的，但要客观看待。、每年大学毕业生接近万人，不缺刚性和改善性购房需求。（现在的毕业生父母基本都已准备好房子了）、首套房利率最低已经降到，买房月供大幅降低。（差的不是利率，是没钱）、高层一再强调，房地产依然是国民经济的支柱产业。（给信心，保交付，继续坚持房住不炒）、楼市长期萧条，房价长期滞涨，潜在的购房需求不断累积。（生活还有衣食行）、看空房地产的人越来越多说明，需要买房的人越来越多。（房子话题已经淡了）;;505;I_am_卓皓然;海外;不是每个人的父母都有能力给你在工作地买房的哈，10个里面有5个差不多了;2023-01-24 22:02:34;6;0.0069801467831886;0;0
实战张姐说;广东;0;9;31;369;第三次房地产救市开始了，这次救市利好因素还是很多的，但要客观看待。、每年大学毕业生接近万人，不缺刚性和改善性购房需求。（现在的毕业生父母基本都已准备好房子了）、首套房利率最低已经降到，买房月供大幅降低。（差的不是利率，是没钱）、高层一再强调，房地产依然是国民经济的支柱产业。（给信心，保交付，继续坚持房住不炒）、楼市长期萧条，房价长期滞涨，潜在的购房需求不断累积。（生活还有衣食行）、看空房地产的人越来越多说明，需要买房的人越来越多。（房子话题已经淡了）;;505;I_am_卓皓然;海外;回复@勤快的七浪:所以结婚的人多啊，人口太多，百分之三十父母有钱在工作地买房就已经很多人了;2023-01-26 09:18:10;0;0.0069801467831886;1;0
实战张姐说;广东;0;9;31;369;第三次房地产救市开始了，这次救市利好因素还是很多的，但要客观看待。、每年大学毕业生接近万人，不缺刚性和改善性购房需求。（现在的毕业生父母基本都已准备好房子了）、首套房利率最低已经降到，买房月供大幅降低。（差的不是利率，是没钱）、高层一再强调，房地产依然是国民经济的支柱产业。（给信心，保交付，继续坚持房住不炒）、楼市长期萧条，房价长期滞涨，潜在的购房需求不断累积。（生活还有衣食行）、看空房地产的人越来越多说明，需要买房的人越来越多。（房子话题已经淡了）;;505;勤快的七浪;安徽;那还少？;2023-01-25 17:52:42;0;0.0069801467831886;1;0
实战张姐说;广东;0;9;31;369;第三次房地产救市开始了，这次救市利好因素还是很多的，但要客观看待。、每年大学毕业生接近万人，不缺刚性和改善性购房需求。（现在的毕业生父母基本都已准备好房子了）、首套房利率最低已经降到，买房月供大幅降低。（差的不是利率，是没钱）、高层一再强调，房地产依然是国民经济的支柱产业。（给信心，保交付，继续坚持房住不炒）、楼市长期萧条，房价长期滞涨，潜在的购房需求不断累积。（生活还有衣食行）、看空房地产的人越来越多说明，需要买房的人越来越多。（房子话题已经淡了）;;87;黄浦江边的下里巴人;上海;大学扩招的后果，越来越明显～;2023-01-23 13:17:15;1;0.0069801467831886;0;0
实战张姐说;广东;0;9;31;369;第三次房地产救市开始了，这次救市利好因素还是很多的，但要客观看待。、每年大学毕业生接近万人，不缺刚性和改善性购房需求。（现在的毕业生父母基本都已准备好房子了）、首套房利率最低已经降到，买房月供大幅降低。（差的不是利率，是没钱）、高层一再强调，房地产依然是国民经济的支柱产业。（给信心，保交付，继续坚持房住不炒）、楼市长期萧条，房价长期滞涨，潜在的购房需求不断累积。（生活还有衣食行）、看空房地产的人越来越多说明，需要买房的人越来越多。（房子话题已经淡了）;;27;开心每1天哈哈;其他;人口负增长;2023-01-24 20:54:57;0;0.0069801467831886;0;0
实战张姐说;广东;0;9;31;369;第三次房地产救市开始了，这次救市利好因素还是很多的，但要客观看待。、每年大学毕业生接近万人，不缺刚性和改善性购房需求。（现在的毕业生父母基本都已准备好房子了）、首套房利率最低已经降到，买房月供大幅降低。（差的不是利率，是没钱）、高层一再强调，房地产依然是国民经济的支柱产业。（给信心，保交付，继续坚持房住不炒）、楼市长期萧条，房价长期滞涨，潜在的购房需求不断累积。（生活还有衣食行）、看空房地产的人越来越多说明，需要买房的人越来越多。（房子话题已经淡了）;;51;亮仔09030325;江苏;舔狗党[挖鼻];2023-01-24 20:31:32;2;0.0069801467831886;0;0
实战张姐说;广东;0;9;31;369;第三次房地产救市开始了，这次救市利好因素还是很多的，但要客观看待。、每年大学毕业生接近万人，不缺刚性和改善性购房需求。（现在的毕业生父母基本都已准备好房子了）、首套房利率最低已经降到，买房月供大幅降低。（差的不是利率，是没钱）、高层一再强调，房地产依然是国民经济的支柱产业。（给信心，保交付，继续坚持房住不炒）、楼市长期萧条，房价长期滞涨，潜在的购房需求不断累积。（生活还有衣食行）、看空房地产的人越来越多说明，需要买房的人越来越多。（房子话题已经淡了）;;15;啦啦啦512282003;其他;真是一天天服了，哪个国家是靠房强盛起来的;2023-02-01 20:28:28;0;0.0069801467831886;0;0
实战张姐说;广东;0;9;31;369;第三次房地产救市开始了，这次救市利好因素还是很多的，但要客观看待。、每年大学毕业生接近万人，不缺刚性和改善性购房需求。（现在的毕业生父母基本都已准备好房子了）、首套房利率最低已经降到，买房月供大幅降低。（差的不是利率，是没钱）、高层一再强调，房地产依然是国民经济的支柱产业。（给信心，保交付，继续坚持房住不炒）、楼市长期萧条，房价长期滞涨，潜在的购房需求不断累积。（生活还有衣食行）、看空房地产的人越来越多说明，需要买房的人越来越多。（房子话题已经淡了）;;661;士官甲;上海;就算回暖一波也是最后一波了，类似于股市里的顶背离[doge];2023-02-01 16:26:12;0;0.0069801467831886;0;0
实战张姐说;广东;0;9;31;369;第三次房地产救市开始了，这次救市利好因素还是很多的，但要客观看待。、每年大学毕业生接近万人，不缺刚性和改善性购房需求。（现在的毕业生父母基本都已准备好房子了）、首套房利率最低已经降到，买房月供大幅降低。（差的不是利率，是没钱）、高层一再强调，房地产依然是国民经济的支柱产业。（给信心，保交付，继续坚持房住不炒）、楼市长期萧条，房价长期滞涨，潜在的购房需求不断累积。（生活还有衣食行）、看空房地产的人越来越多说明，需要买房的人越来越多。（房子话题已经淡了）;;54;茶香满金州;其他;不缺刚性需求[开学季]缺钱，大学生毕业平均年薪不到4000[二哈]哪来的钱买房;2023-02-01 12:15:40;0;0.0069801467831886;0;0
实战张姐说;广东;0;9;31;369;第三次房地产救市开始了，这次救市利好因素还是很多的，但要客观看待。、每年大学毕业生接近万人，不缺刚性和改善性购房需求。（现在的毕业生父母基本都已准备好房子了）、首套房利率最低已经降到，买房月供大幅降低。（差的不是利率，是没钱）、高层一再强调，房地产依然是国民经济的支柱产业。（给信心，保交付，继续坚持房住不炒）、楼市长期萧条，房价长期滞涨，潜在的购房需求不断累积。（生活还有衣食行）、看空房地产的人越来越多说明，需要买房的人越来越多。（房子话题已经淡了）;;9;石生198408;广东;最大的忽悠就是ZF;2023-01-31 08:23:15;1;0.0069801467831886;0;0
