发布者;IP属地;帖子账号粉丝数;转发数;评论数;点赞数;文本;话题;一级账号粉丝数;用户名;评论属地;评论内容;评论时间;评论点赞数;主题相似度;标记;是否为官媒
文登融媒;;0;2;2;2;落实金融支持房地产条措施央行多方面发力推动经济运行整体好转中国人民银行日表示，将从精准有力实施好稳健的货币政策，加大金融对国内需求和供给体系的支持力度等方面发力，推动经济运行整体好转，实现质的有效提升和量的合理增长。当日召开的年中国人民银行工作会议要求，年人民银行系统要综合运用多种货币政策工具，保持流动性合理充裕。多措并举降低市场主体融资成本。支持恢复和扩大消费、重点基础设施和重大项目建设。坚持对各类所有制企业一视同仁，引导金融机构进一步解决好民营小微企业融资问题。落实金融支持房地产条措施，支持房地产市场平稳健康发展。会议提出，要持续推动金融风险防范化解。进一步发挥国务院金融委办公室牵头抓总作用。健全金融稳定保障基金管理制度。持续完善宏观审慎管理体系。加强金融控股公司监管。此外，会议还明确，要持续深化国际金融合作和对外开放。稳步扩大规则、规制、管理、标准等制度型开放。有序推进人民币国际化。持续深化金融改革。加强平台企业金融业务常态化监管。全面提升金融服务和管理水平。持续推进金融立法。有序推进数字人民币试点。强化金融消费权益保护。人民银行表示，年要突出做好稳增长、稳就业、稳物价工作，推动经济运行整体好转，实现质的有效提升和量的合理增长，有效防范化解重大金融风险，持续深化金融改革开放，为全面建设社会主义现代化国家开好局起好步提供有力的金融支持。（记者吴雨）;#落实金融支持房地产16条措施##央行多方面发力推动经济运行整体好转#;1;好人一生平安sjh;山东;[赞];2023-01-06 22:22:39;0;0.0441574084561533;0;1
刘光宇;北京;0;0;1;2;住建部终于发话了，对于购买第一套住房的要大力支持，首付能降下来的要降下来，二套要合理支持，但是特别强调，三套以上原则上不支持，也就是说不给投机炒房者重新入市留有空间。房地产落实金融支持房地产条措施住建部部长谈买房租房;#房地产##落实金融支持房地产16条措施##住建部部长谈2023买房租房#;381;凌晨3点_洛杉矶;湖北;他以为还会有人买第三套吗;2023-01-06 11:21:10;0;0.0261593276791609;0;0
淮安市公安局淮阴分局;;0;0;1;1;落实金融支持房地产条措施央行多方面发力推动经济运行整体好转中国人民银行日表示，将从精准有力实施好稳健的货币政策，加大金融对国内需求和供给体系的支持力度等方面发力，推动经济运行整体好转，实现质的有效提升和量的合理增长。当日召开的年中国人民银行工作会议要求，展开;#落实金融支持房地产16条措施##央行多方面发力推动经济运行整体好转#;101661;金湖法院;江苏;[话筒][话筒][话筒];2023-01-05 14:38:53;0;0.0307221527776779;0;1
金鼎大都督669;湖北;0;1;1;6;央行：落实金融条措施，支持房地产市场平稳健康发展，具体哪条感兴趣的可以自己去看，提振经济，刺激房地产也是迫不得已之举，但是效果本都督有些怀疑没钱才是硬道理，重要的是，房子以后的投资价值越来越小，综合多方数据判断，年应该是人口负增长元年，未来很多年都是这个趋势，所以有钱人大概率也不会做这方面的投资刺激新能源汽车效果估计要好些;;80;PLAL123;其他;提振股市;2023-01-05 14:24:31;0;0.0213998048813411;0;0
湖南微博房产;湖南;0;1;2;3;央行：落实金融条措施，支持房地产市场平稳健康发展月日，年中国人民银行工作会议以视频形式召开。观点新媒体了解，会议要求，一是精准有力实施好稳健的货币政策。综合运用多种货币政策工具，保持流动性合理充裕。保持广义货币供应量和社会融资规模增速同名义经济增速基本匹配。多措并举降低市场主体融资成本。保持人民币汇率在合理均衡水平上的基本稳定。二是加大金融对国内需求和供给体系的支持力度。支持恢复和扩大消费、重点基础设施和重大项目建设。坚持对各类所有制企业一视同仁，引导金融机构进一步解决好民营小微企业融资问题。落实金融条措施，支持房地产市场平稳健康发展。三是持续推动金融风险防范化解。进一步发挥国务院金融委办公室牵头抓总作用。健全金融稳定保障基金管理制度。四是持续完善宏观审慎管理体系。优化宏观审慎压力测试机制。强化系统重要性银行监管。加强金融控股公司监管。五是持续深化国际金融合作和对外开放。做好二十国集团可持续金融牵头工作。稳步扩大规则、规制、管理、标准等制度型开放。有序推进人民币国际化。六是持续深化金融改革。继续完善金融基础设施统筹监管框架。加强平台企业金融业务常态化监管。继续深化外汇领域改革开放。七是全面提升金融服务和管理水平。持续推进金融立法。扎实做好金融统计和研究工作。不断提升支付监管质效。深化金融科技应用与管理。强化人民币现金管理。有序推进数字人民币试点。持续提升国库业务信息化水平。全面加强征信体系建设。扎实开展反洗钱监管。强化金融消费权益保护。（：观点网）;;0;关于小熊的记事本;湖南;不错;2023-01-05 14:47:13;1;0.036919011275467;0;0
湖南微博房产;湖南;0;1;2;3;央行：落实金融条措施，支持房地产市场平稳健康发展月日，年中国人民银行工作会议以视频形式召开。观点新媒体了解，会议要求，一是精准有力实施好稳健的货币政策。综合运用多种货币政策工具，保持流动性合理充裕。保持广义货币供应量和社会融资规模增速同名义经济增速基本匹配。多措并举降低市场主体融资成本。保持人民币汇率在合理均衡水平上的基本稳定。二是加大金融对国内需求和供给体系的支持力度。支持恢复和扩大消费、重点基础设施和重大项目建设。坚持对各类所有制企业一视同仁，引导金融机构进一步解决好民营小微企业融资问题。落实金融条措施，支持房地产市场平稳健康发展。三是持续推动金融风险防范化解。进一步发挥国务院金融委办公室牵头抓总作用。健全金融稳定保障基金管理制度。四是持续完善宏观审慎管理体系。优化宏观审慎压力测试机制。强化系统重要性银行监管。加强金融控股公司监管。五是持续深化国际金融合作和对外开放。做好二十国集团可持续金融牵头工作。稳步扩大规则、规制、管理、标准等制度型开放。有序推进人民币国际化。六是持续深化金融改革。继续完善金融基础设施统筹监管框架。加强平台企业金融业务常态化监管。继续深化外汇领域改革开放。七是全面提升金融服务和管理水平。持续推进金融立法。扎实做好金融统计和研究工作。不断提升支付监管质效。深化金融科技应用与管理。强化人民币现金管理。有序推进数字人民币试点。持续提升国库业务信息化水平。全面加强征信体系建设。扎实开展反洗钱监管。强化金融消费权益保护。（：观点网）;;0;关于小熊的记事本;湖南;[赞][赞];2023-01-05 14:47:03;1;0.036919011275467;0;0
岁末的秋222333;福建;0;0;1;3;落实金融支持房地产条措施房地产已经救不活了，没用的，死了这条心吧;#落实金融支持房地产16条措施#;107;xyr1_;河北;反正我买不起，我还想卖呢;2023-01-05 12:25:20;0;0.0831886351020904;0;0
昆明市西山区发布;;0;0;3;3;落实金融支持房地产条措施央行多方面发力推动经济运行整体好转中国人民银行日表示，将从精准有力实施好稳健的货币政策，加大金融对国内需求和供给体系的支持力度等方面发力，推动经济运行整体好转，实现质的有效提升和量的合理增长。当日召开的年中国人民银行工作会议要求，展开;#落实金融支持房地产16条措施##央行多方面发力推动经济运行整体好转#;150611;诸城公安;山东;[话筒][话筒];2023-01-05 12:32:25;0;0.0307221527776779;0;1
昆明市西山区发布;;0;0;3;3;落实金融支持房地产条措施央行多方面发力推动经济运行整体好转中国人民银行日表示，将从精准有力实施好稳健的货币政策，加大金融对国内需求和供给体系的支持力度等方面发力，推动经济运行整体好转，实现质的有效提升和量的合理增长。当日召开的年中国人民银行工作会议要求，展开;#落实金融支持房地产16条措施##央行多方面发力推动经济运行整体好转#;111942;西安检察;陕西;关注[浪];2023-01-05 11:44:53;0;0.0307221527776779;0;1
昆明市西山区发布;;0;0;3;3;落实金融支持房地产条措施央行多方面发力推动经济运行整体好转中国人民银行日表示，将从精准有力实施好稳健的货币政策，加大金融对国内需求和供给体系的支持力度等方面发力，推动经济运行整体好转，实现质的有效提升和量的合理增长。当日召开的年中国人民银行工作会议要求，展开;#落实金融支持房地产16条措施##央行多方面发力推动经济运行整体好转#;1809;西双版纳检察;云南;[话筒][话筒][话筒];2023-01-05 12:24:24;0;0.0307221527776779;0;1
呈贡发布;;0;0;1;1;落实金融支持房地产条措施央行多方面发力推动经济运行整体好转中国人民银行日表示，将从精准有力实施好稳健的货币政策，加大金融对国内需求和供给体系的支持力度等方面发力，推动经济运行整体好转，实现质的有效提升和量的合理增长。当日召开的年中国人民银行工作会议要求，展开;#落实金融支持房地产16条措施##央行多方面发力推动经济运行整体好转#;114626;资阳警方;四川;关注;2023-01-05 10:39:13;0;0.0307221527776779;0;1
周周福运来;湖南;0;38;180;466;重要消息：、美股周三收高，标普指数涨，纳斯达克指数涨，道琼斯指数涨；热门中概股普涨，纳斯达克中国金龙指数涨，新年两日累涨；、央行：加大金融对国内需求和供给体系的支持力度支持房地产市场平稳健康发展；年有序推进数字人民币试点；年要精准有力实施展开;#财经##股票#;144;妮大美碎碎念;海外;好消息[鼓掌];2023-01-05 09:11:42;6;0.010317715331023;0;0
周周福运来;湖南;0;38;180;466;重要消息：、美股周三收高，标普指数涨，纳斯达克指数涨，道琼斯指数涨；热门中概股普涨，纳斯达克中国金龙指数涨，新年两日累涨；、央行：加大金融对国内需求和供给体系的支持力度支持房地产市场平稳健康发展；年有序推进数字人民币试点；年要精准有力实施展开;#财经##股票#;144;丨小小小丶天;广东;回复@湖南小乔:[舔屏][舔屏][舔屏];2023-02-03 21:36:01;0;0.010317715331023;1;0
周周福运来;湖南;0;38;180;466;重要消息：、美股周三收高，标普指数涨，纳斯达克指数涨，道琼斯指数涨；热门中概股普涨，纳斯达克中国金龙指数涨，新年两日累涨；、央行：加大金融对国内需求和供给体系的支持力度支持房地产市场平稳健康发展；年有序推进数字人民币试点；年要精准有力实施展开;#财经##股票#;144;还是老样子丶;其他;回复@湖南小乔:[打call];2023-02-03 16:16:08;0;0.010317715331023;1;0
周周福运来;湖南;0;38;180;466;重要消息：、美股周三收高，标普指数涨，纳斯达克指数涨，道琼斯指数涨；热门中概股普涨，纳斯达克中国金龙指数涨，新年两日累涨；、央行：加大金融对国内需求和供给体系的支持力度支持房地产市场平稳健康发展；年有序推进数字人民币试点；年要精准有力实施展开;#财经##股票#;144;广州码头v;其他;回复@湖南小乔:🤗;2023-02-03 11:31:00;0;0.010317715331023;1;0
周周福运来;湖南;0;38;180;466;重要消息：、美股周三收高，标普指数涨，纳斯达克指数涨，道琼斯指数涨；热门中概股普涨，纳斯达克中国金龙指数涨，新年两日累涨；、央行：加大金融对国内需求和供给体系的支持力度支持房地产市场平稳健康发展；年有序推进数字人民币试点；年要精准有力实施展开;#财经##股票#;144;sandywuuuuu;广西;回复@湖南小乔:[爱你];2023-02-02 16:46:30;0;0.010317715331023;1;0
周周福运来;湖南;0;38;180;466;重要消息：、美股周三收高，标普指数涨，纳斯达克指数涨，道琼斯指数涨；热门中概股普涨，纳斯达克中国金龙指数涨，新年两日累涨；、央行：加大金融对国内需求和供给体系的支持力度支持房地产市场平稳健康发展；年有序推进数字人民币试点；年要精准有力实施展开;#财经##股票#;144;张老师坚强0511;北京;回复@湖南小乔:[哈哈];2023-02-01 21:09:23;0;0.010317715331023;1;0
周周福运来;湖南;0;38;180;466;重要消息：、美股周三收高，标普指数涨，纳斯达克指数涨，道琼斯指数涨；热门中概股普涨，纳斯达克中国金龙指数涨，新年两日累涨；、央行：加大金融对国内需求和供给体系的支持力度支持房地产市场平稳健康发展；年有序推进数字人民币试点；年要精准有力实施展开;#财经##股票#;144;封闭货车托马斯小火车;广西;回复@湖南小乔:[互粉];2023-01-24 14:21:33;0;0.010317715331023;1;0
周周福运来;湖南;0;38;180;466;重要消息：、美股周三收高，标普指数涨，纳斯达克指数涨，道琼斯指数涨；热门中概股普涨，纳斯达克中国金龙指数涨，新年两日累涨；、央行：加大金融对国内需求和供给体系的支持力度支持房地产市场平稳健康发展；年有序推进数字人民币试点；年要精准有力实施展开;#财经##股票#;144;甲乙丙丁ann;海外;回复@湖南小乔:[笑而不语][笑而不语];2023-01-12 14:05:15;0;0.010317715331023;1;0
周周福运来;湖南;0;38;180;466;重要消息：、美股周三收高，标普指数涨，纳斯达克指数涨，道琼斯指数涨；热门中概股普涨，纳斯达克中国金龙指数涨，新年两日累涨；、央行：加大金融对国内需求和供给体系的支持力度支持房地产市场平稳健康发展；年有序推进数字人民币试点；年要精准有力实施展开;#财经##股票#;144;Aze_啊澤;其他;回复@湖南小乔:[心][心][心];2023-01-09 10:52:37;0;0.010317715331023;1;0
周周福运来;湖南;0;38;180;466;重要消息：、美股周三收高，标普指数涨，纳斯达克指数涨，道琼斯指数涨；热门中概股普涨，纳斯达克中国金龙指数涨，新年两日累涨；、央行：加大金融对国内需求和供给体系的支持力度支持房地产市场平稳健康发展；年有序推进数字人民币试点；年要精准有力实施展开;#财经##股票#;144;小灰灰爱吃肉肉2021;其他;回复@湖南小乔:[doge];2023-01-05 12:13:11;0;0.010317715331023;1;0
周周福运来;湖南;0;38;180;466;重要消息：、美股周三收高，标普指数涨，纳斯达克指数涨，道琼斯指数涨；热门中概股普涨，纳斯达克中国金龙指数涨，新年两日累涨；、央行：加大金融对国内需求和供给体系的支持力度支持房地产市场平稳健康发展；年有序推进数字人民币试点；年要精准有力实施展开;#财经##股票#;144;周周福运来;湖南;图片评论 http://t.cn/A6KY6m94;2023-01-05 09:13:20;18;0.010317715331023;1;0
周周福运来;湖南;0;38;180;466;重要消息：、美股周三收高，标普指数涨，纳斯达克指数涨，道琼斯指数涨；热门中概股普涨，纳斯达克中国金龙指数涨，新年两日累涨；、央行：加大金融对国内需求和供给体系的支持力度支持房地产市场平稳健康发展；年有序推进数字人民币试点；年要精准有力实施展开;#财经##股票#;17;passer_wind;上海;好;2023-01-05 09:13:26;3;0.010317715331023;0;0
周周福运来;湖南;0;38;180;466;重要消息：、美股周三收高，标普指数涨，纳斯达克指数涨，道琼斯指数涨；热门中概股普涨，纳斯达克中国金龙指数涨，新年两日累涨；、央行：加大金融对国内需求和供给体系的支持力度支持房地产市场平稳健康发展；年有序推进数字人民币试点；年要精准有力实施展开;#财经##股票#;17;丨小小小丶天;广东;回复@湖南小乔:[doge][doge][doge];2023-02-03 21:36:50;0;0.010317715331023;1;0
