文本,群体情绪,时间
第三次房地产救市开始了，这次救市利好因素还是很多的，但要客观看待。、每年大学毕业生接近万人，不缺刚性和改善性购房需求。（现在的毕业生父母基本都已准备好房子了）、首套房利率最低已经降到，买房月供大幅降低。（差的不是利率，是没钱）、高层一再强调，房地产依然是国民经济的支柱产业。（给信心，保交付，继续坚持房住不炒）、楼市长期萧条，房价长期滞涨，潜在的购房需求不断累积。（生活还有衣食行）、看空房地产的人越来越多说明，需要买房的人越来越多。（房子话题已经淡了）,0.0005488346117969,2023-01-24 22:02:34
第三次房地产救市开始了，大家觉得救得起来吗？这次救市利好因素还是很多的，比如：、每年大学毕业生接近万人，不缺刚性和改善性购房需求。、首套房利率最低已经降到，买房月供大幅降低。、高层一再强调，房地产依然是国民经济的支柱产业。、楼市长期萧条，房价长期滞涨，潜在的购房需求不断累积。、看空房地产的人越来越多说明，需要买房的人越来越多。房地产是国民经济的支柱产业,1.0,2023-01-23 13:17:15
连平：二季度房地产市场有望走出谷底，房价或先抑后稳植信投资首席经济学家兼研究院院长、中国首席经济学家论坛理事长连平预计，年二季度开始，房地产市场有望逐步走出“谷底”。不过，政策加码到市场回暖仍然需要耐心，预计房地产市场将逐步摆脱底部区间。对于入市时机，连平提到，“考虑到当期购房政策条件相对宽松，门槛是近年来较低的，一方面购房贷款利率，无论是首套房还是二套房，很多城市都已经降到或接近历史最低水平；购房首付比例在几十个城市也有不同程度的调降，就刚性和改善性住房需求而言，尤其是在大城市的购房者，应该说是不错的购房时机。”（澎湃）网页链接,0.0021793125561103,2023-01-24 20:54:57
年月日贷款市场报价利率（）为：年期为，年期以上为，连续个月未发生变化。北京二手房,-0.0082860783090835,2023-01-24 20:31:32
这个利率表的阶段我正在银行工作，那时候并不懂这么高的利率到底是怎么造成的，现在能够理解那时候外面的资金市场一定已经是惊涛骇浪了。贷款市场报价利率,0.0109359345513632,2023-02-01 20:28:28
今起北京租住保障性租赁房可提取公积金月日，北京住房公积金管理中心发布《关于进一步优化住房公积金提取业务的通知》。据悉，即日起，在本市租住保障性租赁房的家庭可以申请提取住房公积金，且职工每月的住房公积金可直接冲抵房租，减少了租房提取的中间环节。房地产（新浪财经）,0.2455974752785253,2023-01-05 10:28:02
北京租住保障性租赁房可提取公积金为啥不能自由提取？可以规定按自己需求来提取，随便每个季度提取，但是提取后以后贷款额度什么的减少什么的也行。不提取贷款额度增加也行。不是说促进消费？钱都存在里面拿不出来我拿什么消费,-0.0082759591617724,2023-01-05 10:45:59
北京二手房白话数据年月日建委新房住宅网签套，二手房住宅网签套。（网签有滞后）大中介前台挂牌房源量套，持续关注。昨日楼市热点：北京公积金利好新年这类情况可按月提取。（看昨天微博）提供个学位北京中学东坝北校区开始招标。展开,-0.0768128617590655,2023-01-05 10:26:23
北京：租住保障性租赁房可提取公积金类公积金提取可调整周期年月日，北京住房公积金管理中心发布《关于进一步优化住房公积金提取业务的通知》（以下简称《通知》）。日起，在本市租住保障性租赁房的家庭可以申请提取住房公积金，且职工每月的住房公积金可直接冲抵房租，减少了提取的展开,-0.1037313652231964,2023-01-05 10:57:22
北京租住保障性租赁房可提取公积金真的会说到天花乱坠，只听他说的话，我觉得万一平不过分首护者的微博视频,0.4566277144620276,2023-01-05 10:45:39
今天起，在北京租住保租房可提取公积金月日，北京住房公积金管理中心发布《关于进一步优化住房公积金提取业务的通知》。即日起，在本市租住保障性租赁房的家庭可以申请提取住房公积金，且职工每月的住房公积金可直接冲抵房租，减少了租房提取的中间环节。《通知》明确，类住房公积金提取事项将展开,-0.2038006241292675,2023-01-05 10:43:16
白话身边事儿年月日，北京住房公积金管理中心发布《关于进一步优化住房公积金提取业务的通知》（以下简称《通知》）。据悉，即日起，在本市租住保障性租赁房的家庭可以申请提取住房公积金，且职工每月的住房公积金可直接冲抵房租，减少了提取的中间环节。同时，《通知》明确，类住房公积金展开,-0.1272916347618441,2023-01-05 10:35:31
月日起，北京市租住保障性租赁房可提取公积金月日，北京住房公积金管理中心发布《关于进一步优化住房公积金提取业务的通知》。即日起，在北京市租住保障性租赁房的家庭可以申请提取住房公积金，且职工每月的住房公积金可直接冲抵房租，减少了租房提取的中间环节。一、加大对租住保障性租赁展开,-0.1036221275470305,2023-01-05 10:35:26
北京：月日起，租住保障性租赁房可提取公积金月日，北京住房公积金管理中心发布《关于进一步优化住房公积金提取业务的通知》（以下简称《通知》）。据悉，即日起，在本市租住保障性租赁房的家庭可以申请提取住房公积金，且职工每月的住房公积金可直接冲抵房租，减少了租房提取的中间环节。为展开,0.9502236296474356,2023-01-05 10:31:18
各种支持政策出来了，帮助低收入人群。北京：月日起，租住保障性租赁房可提取公积金北京住房公积金管理中心发布《关于进一步优化住房公积金提取业务的通知》。即日起，在本市租住保障性租赁房的家庭可以申请提取住房公积金，且职工每月的住房公积金可直接冲抵房租，减少了租房提取的中间环节展开,0.2239901142563869,2023-01-05 10:26:05
月日起，北京市租住保障性租赁房可提取公积金月日，北京住房公积金管理中心发布《关于进一步优化住房公积金提取业务的通知》。即日起，在北京市租住保障性租赁房的家庭可以申请提取住房公积金，且职工每月的住房公积金可直接冲抵房租，减少了租房提取的中间环节。（北京住房公积金管理中心）,-0.5041603846137579,------
今起北京租住保障性租赁房可提取公积金月日，北京住房公积金管理中心发布《关于进一步优化住房公积金提取业务的通知》。据悉，即日起，在本市租住保障性租赁房的家庭可以申请提取住房公积金，且职工每月的住房公积金可直接冲抵房租，减少了租房提取的中间环节。,-0.074392221393034,2023-02-14 00:06:53
实时快报：北京：月日起，租住保障性租赁房可提取公积金云财经讯，北京住房公积金管理中心发布《关于进一步优化住房公积金提取业务的通知》。据悉，即日起，在本市租住保障性租赁房的家庭可以申请提取住房公积金，且职工每月的住房公积金可直接冲抵房租，减少了租房提取的中间环节。（北京日报展开,0.0011849059133133,2023-02-14 00:06:36
北京租住保障性租赁房可提取公积金北京：月日起，租住保障性租赁房可提取公积金据北京日报：月日，北京住房公积金管理中心发布《关于进一步优化住房公积金提取业务的通知》（以下简称《通知》）。据悉，即日起，在本市租住保障性租赁房的家庭可以申请提取住房公积金，且职工每月的住房公积金展开,-1.0,------
