文本,群体情绪,时间
三区三线到底什么时候能真正的结束，心累,-0.0002509891622467,2023-03-03 11:45:27
为什么基本农田又要调啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊三区三线,0.6547014597399519,2023-08-18 17:43:12
月的第一天，那就好好告个别吧。三区三线国土空间规划始于年月，止于年月。毕业已将近四年，从事国空工作亦如此。从适应环境生存，到学习技术扎根；从迷茫不知何处，到坚持初心向前；熬夜加班通宵至凌晨已不知多少次，驻场办公七天七夜精神紧绷更不在话下，也常因项目压力大分身乏术失眠多梦。在经历了无数次的思想斗争后，最终还是败给了生活，选择了离职。人生是充满遗憾的，每个转角的选择真的很重要。不知道这次的抉择是否正确？或许多年以后才会明白吧每月的第一天都是新的开始，每一天也都是新的一天。过往不究，重启新篇。愿得偿所愿，万事胜意。,0.7182707025743479,------
问卷累计人参与，木有达成人的小目标，详细数据已邮件给参与者，请查收。收入样本太少没啥统计必要了，一句话总结大院分享最后一题如图三区三线国土空间规划,-0.0088907236992486,2023-03-02 18:51:53
榆林：奋力推进各项工作开新局近日，榆林市召开优化营商环境系列新闻发布会。年，榆林市自然资源和规划局完成国土空间总体规划“三区三线”划定并或自然资源部审批，在全国唯一争取到能化项目单独核算新增建设用地规模万亩，将在市、县国土空间总体规划批准后落实。通过编制过渡期国土空间规划，解决了个项目、万亩建设用地规划指标。统征储备土地万亩，上报建设用地万亩，获批建设用地万亩，获批同比增长；供应建设用地万亩，其中中心城区供应住宅用地亩，同比增长。个省级园区按“标准地”方式出让亩，占比，超额完成省定任务。不动产登记一周办结率达到，件均办理时间压缩至个工作日；的业务“一次也不跑”。市本级新供应土地全面实现“交地即交证”，新建商品房逐步开启“交房即交证”。化解历史遗留问题小区个、房屋万套，同比增长，超额完成目标任务。年，榆林市自然资源和规划局将认真贯彻落实省委省政府、市委市政府安排部署，紧紧围绕全市重点项目开工建设，助推经济社会高质量发展。完成国土空间总体规划编制，保障单选项目建设用地规划指标，保障集体建设用地规划指标，压缩组件审查时间，简化文件办理程序、，建立联审联批机制，提前制定供地方案，全面推行“标准地”供应，探索多元供地方式，优化业务办理流程，推进信息互通共享，强化部门业务协同。来源：陕西科技报,0.0025754310887235,2023-03-06 12:28:08
证监会：强化对“伪市值管理”的精准打击严惩相关违规证券基金经营机构、专业操盘手等证监会表示，针对“伪市值管理”类操纵案件，证监会一方面坚持稳字当头，在打击违法违规行为的同时，稳妥处理案件查办与公司经营、风险处置等的关系，谨慎把握调查工作节奏、时间节点等，严把证据关、法律适用关，密切上下游执法协作，精准施策，避免“误打误伤”。另一方面，坚持全覆盖全方位追责，对参与配合“伪市值管理”违法违规行为的上中下游全面调查，严肃惩处相关违规证券基金经营机构、私募机构及从业人员、配资中介、专业操盘手等。证监会：强化对“伪市值管理”的精准打击坚持全覆盖全方位追责,0.0038660071560087,------
证监会：强化对伪市值管理的精准打击严惩相关违规证券基金经营机构、专业操盘手等月日，证监会表示，针对“伪市值管理”类操纵案件，证监会一方面坚持稳字当头，在打击违法违规行为的同时，稳妥处理案件查办与公司经营、风险处置等的关系，谨慎把握调查工作节奏、时间节点等，严把证据关、法律适用关，密切上下游执法协作，精准施策，避免“误打误伤”。另一方面，坚持全覆盖全方位追责，对参与配合“伪市值管理”违法违规行为的上中下游全面调查，严肃惩处相关违规证券基金经营机构、私募机构及从业人员、配资中介、专业操盘手等。,0.0793238291597213,2023-03-01 23:51:17
证监会：强化对“伪市值管理”的精准打击严惩相关违规证券基金经营机构、专业操盘手等证监会表示，针对“伪市值管理”类操纵案件，证监会一方面坚持稳字当头，在打击违法违规行为的同时，稳妥处理案件查办与公司经营、风险处置等的关系，谨慎把握调查工作节奏、时间节点等，严把证据关、法律适用关，密切上下游执法协作，精准施策，避免“误打误伤”。另一方面，坚持全覆盖全方位追责，对参与配合“伪市值管理”违法违规行为的上中下游全面调查，严肃惩处相关违规证券基金经营机构、私募机构及从业人员、配资中介、专业操盘手等。（财联社）,-0.0112473848205433,2023-05-16 10:09:09
贵阳市城乡居民收入持续增长月日，记者从国家统计局贵阳调查队获悉，年，贵阳市坚持稳字当头、稳中求进，高效统筹疫情防控和经济发展，落实好各项稳经济政策举措，城乡居民收入稳步增长，继续在全省保持领先优势。融媒看贵阳这一年，贵阳市城镇居民人均可支配收入达到了元，比上年名义增长，绝对值、增加值、增速在全省九个市州中均排第一；农村居民人均可支配收入元，比上年名义增长，绝对值、增加值在全省排第一。农村收入再上新台阶，县域农村居民可支配收入在全省率先全面突破万元。年，贵阳市城乡居民收入持续增长（贵阳网甲秀新闻李波记者杨源）微博区域热点,0.0,2023-03-02 06:36:11
日股市收评：群聊今日沪深两市指数几乎平开，大盘维持多空平衡的震荡，双创则小幅调整。午后大盘延续震荡，最后半小时有所发力，收于全天高点附近。双创绿盘报收，其他指数收涨。两市成交量比昨日缩量亿达亿，超只个股收跌。大盘今天走出下跌修复行情。昨天盘后消息，月日，证监会宣布启动不动产私募投资基金试点。房地产融资迎利好，股债比放宽，扩募“松绑”。上午顺周期品种领涨，盘面震荡上行，盘中突破出现一轮跳水，下午股指较长时间维持在昨日收盘点位附近窄幅整理，下午两点后持续上涨，高位报收。今天煤炭板块卷土重来，盘江股份领涨。煤炭板块经过了一轮充分调整，现在估值不高，有业绩和分红潜力作为重要支持，是攻守兼备的品种，这可能是煤炭新一轮行情的开端。当前正处在煤炭经济新一轮周期上行的初期，基本面、政策面共振，现阶段配置煤炭板块正当时。国内煤炭下游需求加速复苏，电厂日耗不断攀升，沿海八省动力煤日耗已经高于往年同期水平，非电煤下游开工率亦稳步提高，煤炭价格有望迎来企稳回升。煤炭板块个人建议可以持续关注，特别是那些有业绩支撑，股价处于低位调整足够充分的个股，后市的机会多多。今天有色板块也处于涨幅前列。经济复苏拉动了对有色的需求，另一方面，供给端没有同步扩大。铜这个品种值得持续关注。美国矿业公司自由港旗下，位于印尼的全球第二大铜矿因为洪水而发生停产。年以来，继秘鲁铜矿和铜矿先后停产之后，再有印尼超大型铜矿意外停产，全球铜矿干扰加剧。所以这个板块还是值得我们继续关注，有超跌企稳的个股可以找机会低吸。整体看，今天盘中股指虽然出现不明原因的跳水，但与上周相比，今天的跌幅显然温柔多了，很快就止跌企稳，说明市场内在支撑力度足够强劲。下午收盘前出现会议消息：坚持稳字当头、稳中求进，实施积极的财政政策和稳健的货币政策，加强各类政策协调配合，形成共促高质量发展合力。这表明扩张性政策将会持续，经济升温的预期再次提升。盘面迅速结束萎靡观望状态，股指坚定上行。春节后股指多次上攻点未果，今天收盘站在点上方是有效突破。上证区间，在去年三季度和今天春节后，已经形成两个震荡箱体，这是底部区域的颈线位置，一旦突破，上升空间打开，可能会出现上涨加速。主攻板块第一轮应该就是权重股，昨天工程机械和金融，今天是资源、钢铁等，带动大盘冲关，突破之后打出空间才轮到小盘股表现。所以还是建议大家不要乱调仓，大行情来的时候，所有板块都会轮动，也都有机会表现的股票今日看盘股票推荐大智若愚龙云,0.1711051344519244,2023-03-02 19:03:21
